rank,demo_id,hidden_label,score
1,demo_0,bad,0.43622440099716187
2,demo_2,bad,0.17747995257377625
3,demo_3,positive,0.8233069777488708
4,demo_6,bad,0.01763249933719635
5,demo_7,positive,0.4305099844932556
6,demo_8,bad,0.1523936539888382
7,demo_9,positive,0.5869389772415161
8,demo_10,bad,0.058647170662879944
9,demo_12,bad,0.2870461046695709
10,demo_13,positive,0.8623853325843811
11,demo_14,bad,0.008732642978429794
12,demo_15,positive,0.3756486475467682
13,demo_16,bad,0.39165398478507996
14,demo_18,bad,0.577294647693634
15,demo_19,positive,0.8782857656478882
16,demo_20,bad,0.48125243186950684
17,demo_24,bad,0.09193741530179977
18,demo_26,bad,0.29538828134536743
19,demo_27,positive,0.677781343460083
20,demo_30,bad,0.0036335131153464317
21,demo_32,bad,0.13514861464500427
22,demo_33,positive,0.5893762111663818
23,demo_34,bad,0.208385169506073
24,demo_36,bad,0.20214588940143585
25,demo_40,bad,0.22437234222888947
26,demo_42,bad,0.23570851981639862
27,demo_43,positive,0.689286470413208
28,demo_50,bad,0.3794959485530853
29,demo_51,positive,0.7978874444961548
30,demo_54,bad,0.580858588218689
31,demo_56,bad,0.4662207365036011
32,demo_57,positive,0.8605576753616333
33,demo_58,bad,0.6637142300605774
34,demo_59,positive,0.9201218485832214
35,demo_60,bad,0.2951289415359497
36,demo_61,positive,0.7027206420898438
37,demo_62,bad,0.7163573503494263
38,demo_64,bad,0.011413869448006153
39,demo_68,bad,0.31721580028533936
40,demo_70,bad,0.5810611248016357
41,demo_72,bad,0.0006421346333809197
42,demo_73,positive,0.4157150089740753
43,demo_74,bad,0.09816727042198181
44,demo_76,bad,0.48475340008735657
45,demo_78,bad,0.4313705563545227
46,demo_82,bad,0.03776253014802933
47,demo_83,positive,0.576107919216156
48,demo_84,bad,0.014915169216692448
49,demo_85,positive,0.44983991980552673
50,demo_86,bad,0.650258481502533
51,demo_90,bad,0.7111817598342896
52,demo_92,bad,0.08836089819669724
53,demo_93,positive,0.49944499135017395
54,demo_94,bad,0.3932563066482544
55,demo_95,positive,0.7977859377861023
56,demo_96,bad,0.5493036508560181
57,demo_100,bad,0.39723697304725647
58,demo_102,bad,0.05338813737034798
59,demo_106,bad,0.34490808844566345
60,demo_107,positive,0.8366934061050415
61,demo_108,bad,0.010929149575531483
62,demo_109,positive,0.3577309548854828
63,demo_110,bad,0.3647041320800781
64,demo_111,positive,0.794931173324585
65,demo_112,bad,0.10294436663389206
66,demo_113,positive,0.5578481554985046
67,demo_114,bad,0.1529327630996704
68,demo_115,positive,0.6210041642189026
69,demo_116,bad,0.051973454654216766
70,demo_119,positive,0.48534196615219116
71,demo_120,bad,0.43959975242614746
72,demo_122,bad,0.013860990293323994
73,demo_124,bad,0.14584632217884064
74,demo_126,bad,0.23688997328281403
75,demo_127,positive,0.6439832448959351
76,demo_128,bad,0.2862964868545532
77,demo_129,positive,0.778863251209259
78,demo_130,bad,0.3656670153141022
79,demo_131,positive,0.8985999822616577
80,demo_134,bad,0.09406068921089172
81,demo_135,positive,0.674210250377655
82,demo_136,bad,0.17726193368434906
83,demo_137,positive,0.7781591415405273
84,demo_138,bad,0.46123209595680237
85,demo_140,bad,0.009028537198901176
86,demo_142,bad,0.3830706775188446
87,demo_145,positive,0.8477122783660889
88,demo_146,bad,0.49848172068595886
89,demo_148,bad,0.02242898941040039
90,demo_149,positive,0.49881091713905334
91,demo_150,bad,0.01809661276638508
92,demo_152,bad,0.148964524269104
93,demo_154,bad,0.006909720133990049
94,demo_155,positive,0.5222591757774353
95,demo_159,positive,0.8656578063964844
96,demo_160,bad,0.001471074065193534
97,demo_161,positive,0.48521164059638977
98,demo_162,bad,0.10325358062982559
99,demo_164,bad,0.13672298192977905
100,demo_165,positive,0.7071766257286072
101,demo_166,bad,0.5343079566955566
102,demo_167,positive,0.8528037071228027
103,demo_168,bad,0.5084319114685059
104,demo_170,bad,0.18535810708999634
105,demo_172,bad,0.00522164162248373
106,demo_174,bad,0.007226959336549044
107,demo_175,positive,0.42531684041023254
108,demo_176,bad,0.07391469180583954
109,demo_178,bad,0.01097267959266901
110,demo_181,positive,0.459348201751709
111,demo_182,bad,0.16697587072849274
112,demo_184,bad,0.701099157333374
113,demo_186,bad,0.02021022140979767
114,demo_190,bad,0.5055453181266785
115,demo_192,bad,0.2838936746120453
116,demo_193,positive,0.7953174710273743
117,demo_194,bad,0.2852242887020111
118,demo_196,bad,0.40313825011253357
119,demo_197,positive,0.8020069003105164
120,demo_198,bad,0.12516918778419495
