rank,demo_id,hidden_label,score
1,demo_93,positive,0.997957170009613
2,demo_119,positive,0.9967812299728394
3,demo_7,positive,0.9943833351135254
4,demo_183,positive,0.9922146201133728
5,demo_41,positive,0.9879630208015442
6,demo_161,positive,0.9851295351982117
7,demo_92,bad,0.9828963875770569
8,demo_125,positive,0.9733151793479919
9,demo_73,positive,0.9584954380989075
10,demo_155,positive,0.948794960975647
11,demo_11,positive,0.9315502643585205
12,demo_182,bad,0.920070230960846
13,demo_25,positive,0.9194998145103455
14,demo_157,positive,0.9139181971549988
15,demo_35,positive,0.9095460176467896
16,demo_187,positive,0.9010555744171143
17,demo_37,positive,0.8949139714241028
18,demo_127,positive,0.8938053846359253
19,demo_151,positive,0.8718981146812439
20,demo_175,positive,0.853103756904602
21,demo_85,positive,0.8404511213302612
22,demo_63,positive,0.8282409310340881
23,demo_141,positive,0.814439594745636
24,demo_123,positive,0.7963297367095947
25,demo_133,positive,0.7953247427940369
26,demo_83,positive,0.7855489253997803
27,demo_185,positive,0.7830954790115356
28,demo_6,bad,0.7782518267631531
29,demo_118,bad,0.7759577631950378
30,demo_163,positive,0.7759515643119812
31,demo_124,bad,0.7735166549682617
32,demo_87,positive,0.7670118808746338
33,demo_129,positive,0.7545480132102966
34,demo_65,positive,0.753463089466095
35,demo_147,positive,0.7502973079681396
36,demo_91,positive,0.7485399842262268
37,demo_97,positive,0.7446537017822266
38,demo_95,positive,0.7445268034934998
39,demo_101,positive,0.7440146803855896
40,demo_143,positive,0.7422611713409424
41,demo_57,positive,0.7412620186805725
42,demo_33,positive,0.7250409722328186
43,demo_61,positive,0.717168390750885
44,demo_179,positive,0.715099036693573
45,demo_199,positive,0.7093949913978577
46,demo_149,positive,0.7083733677864075
47,demo_19,positive,0.7009555101394653
48,demo_76,bad,0.699772834777832
49,demo_107,positive,0.6988903880119324
50,demo_14,bad,0.6968890428543091
51,demo_9,positive,0.6741787195205688
52,demo_145,positive,0.6720738410949707
53,demo_40,bad,0.6649198532104492
54,demo_160,bad,0.6648595929145813
55,demo_115,positive,0.6646180748939514
56,demo_165,positive,0.6579575538635254
57,demo_177,positive,0.6361257433891296
58,demo_51,positive,0.6340622305870056
59,demo_117,positive,0.6328915357589722
60,demo_197,positive,0.6312304139137268
61,demo_75,positive,0.6305979490280151
62,demo_144,bad,0.6282349824905396
63,demo_59,positive,0.6280059814453125
64,demo_109,positive,0.627263605594635
65,demo_126,bad,0.626607358455658
66,demo_47,positive,0.6181212067604065
67,demo_153,positive,0.6160298585891724
68,demo_131,positive,0.6159682273864746
69,demo_111,positive,0.609795093536377
70,demo_30,bad,0.6092949509620667
71,demo_140,bad,0.607762336730957
72,demo_21,positive,0.6050621867179871
73,demo_27,positive,0.6032044887542725
74,demo_135,positive,0.599505603313446
75,demo_54,bad,0.5984517931938171
76,demo_64,bad,0.5885418653488159
77,demo_139,positive,0.5835630893707275
78,demo_108,bad,0.5797030925750732
79,demo_72,bad,0.5792145729064941
80,demo_113,positive,0.5781918168067932
