run_dir,method,raw_method,success_rate,avg_return,avg_len,source,split_path,seed,steps,checkpoint_step,source_transition_count,top_unlabeled_demos,selected_hidden_positive_demos,selected_unlabeled_transitions,feature_mode,eval_episodes,eval_horizon
results/robomimic_can_gmm_scarce_stronger,gmm_mode_labeled_positive,gmm_mode_labeled_positive,0.0,0.0,400.0,labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,3000,3000,1198,40,0,0,obs,10,400
results/robomimic_can_gmm_scarce_stronger,gmm_mean_labeled_positive,gmm_mean_labeled_positive,0.0,0.0,400.0,labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,3000,3000,1198,40,0,0,obs,10,400
results/robomimic_can_gmm_scarce_stronger,gmm_sample_labeled_positive,gmm_sample_labeled_positive,0.0,0.0,400.0,labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,3000,3000,1198,40,0,0,obs,10,400
results/robomimic_can_gmm_top80_stronger,gmm_mode_positive_plus_classifier_top_unlabeled_demos,gmm_mode_positive_plus_classifier_top_unlabeled_demos,0.3,0.3,312.3,positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,3000,3000,9027,80,60,7829,obs,10,400
results/robomimic_can_gmm_top80_stronger,gmm_mean_positive_plus_classifier_top_unlabeled_demos,gmm_mean_positive_plus_classifier_top_unlabeled_demos,0.2,0.2,341.8,positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,3000,3000,9027,80,60,7829,obs,10,400
results/robomimic_can_gmm_top80_stronger,gmm_sample_positive_plus_classifier_top_unlabeled_demos,gmm_sample_positive_plus_classifier_top_unlabeled_demos,0.1,0.1,371.1,positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,3000,3000,9027,80,60,7829,obs,10,400
results/robomimic_can_gmm_top80_stronger,gmm_classifier_rerank_positive_plus_classifier_top_unlabeled_demos,gmm_classifier_rerank_positive_plus_classifier_top_unlabeled_demos,0.1,0.1,382.1,positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,3000,3000,9027,80,60,7829,obs,10,400
results/robomimic_can_gmm_scarce_20k_mode,gmm_mode_labeled_positive,gmm_mode_labeled_positive,0.0,0.0,400.0,labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,20000,1198,40,0,0,obs,10,400
results/robomimic_can_gmm_top80_20k_mode,gmm_mode_positive_plus_classifier_top_unlabeled_demos,gmm_mode_positive_plus_classifier_top_unlabeled_demos,0.4,0.4,286.3,positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,20000,9027,80,60,7829,obs,10,400
results/robomimic_can_gmm_scarce_seed1_ckpt50k_mode,gmm_mode_labeled_positive,gmm_mode_labeled_positive_step20000,0.1,0.1,371.8,labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,1,50000,20000,1198,40,0,0,obs,10,400
results/robomimic_can_gmm_scarce_seed1_ckpt50k_mode,gmm_mode_labeled_positive,gmm_mode_labeled_positive_step50000,0.2,0.2,343.3,labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,1,50000,50000,1198,40,0,0,obs,10,400
results/robomimic_can_gmm_top80_seed1_ckpt50k_mode,gmm_mode_positive_plus_classifier_top_unlabeled_demos,gmm_mode_positive_plus_classifier_top_unlabeled_demos_step20000,0.2,0.2,340.0,positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,1,50000,20000,9133,80,63,7935,obs,10,400
