run_dir,method,raw_method,success_rate,avg_return,avg_len,source,split_path,seed,steps,checkpoint_step,source_transition_count,top_unlabeled_demos,selection_rule,checkpoint_selection_metric,selected_unlabeled_demo_count,selected_hidden_positive_demos,selected_unlabeled_transitions,feature_mode,eval_episodes,eval_horizon
results/robomimic_can_gmm_gap_seed0_ckpt20k_mode,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_step5000,0.4,0.4,291.3,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,5000,3470,40,score_gap,,23,23,2272,obs,10,400
results/robomimic_can_gmm_gap_seed0_ckpt20k_mode,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_step10000,0.2,0.2,337.7,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,10000,3470,40,score_gap,,23,23,2272,obs,10,400
results/robomimic_can_gmm_gap_seed0_ckpt20k_mode,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_step20000,0.1,0.1,368.3,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,20000,3470,40,score_gap,,23,23,2272,obs,10,400
results/robomimic_can_gmm_gap_supportval_seed0_ckpt20k_mode,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train_step2500,0.0,0.0,400.0,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,2500,3470,40,score_gap,,23,23,2272,obs,10,400
results/robomimic_can_gmm_gap_supportval_seed0_ckpt20k_mode,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train_step5000,0.1,0.1,370.2,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,5000,3470,40,score_gap,,23,23,2272,obs,10,400
results/robomimic_can_gmm_gap_supportval_seed0_ckpt20k_mode,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train_step10000,0.3,0.3,310.4,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,10000,3470,40,score_gap,,23,23,2272,obs,10,400
results/robomimic_can_gmm_gap_supportval_seed0_ckpt20k_mode,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train_step20000,0.0,0.0,400.0,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,20000,3470,40,score_gap,,23,23,2272,obs,10,400
results/robomimic_can_gmm_gap_supportval_seed0_ckpt20k_mode,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportnll_selected_full,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportnll_selected_full_step2500,0.0,0.0,400.0,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,2500,3470,40,score_gap,,23,23,2272,obs,10,400
results/robomimic_can_gmm_gap_supportval_mode_mse_seed0_ckpt20k,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train_step2500,0.0,0.0,400.0,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,2500,3470,40,score_gap,support_val_mode_mse,23,23,2272,obs,10,400
results/robomimic_can_gmm_gap_supportval_mode_mse_seed0_ckpt20k,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train_step5000,0.1,0.1,370.2,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,5000,3470,40,score_gap,support_val_mode_mse,23,23,2272,obs,10,400
