episode_id,split,length,trajectory_return,label_score,return_percentile,terminated,truncated
0,negative,288,16.819466969166147,16.819466969166147,0.12384638285203929,0,1
1,unlabeled,87,21.14496161311573,21.14496161311573,0.3727299791604644,0,1
2,unlabeled,415,25.716542918791866,25.716542918791866,0.605835069961298,0,1
3,unlabeled,291,19.420790698689366,19.420790698689366,0.26347127121167013,0,1
4,negative,90,15.447930614951527,15.447930614951527,0.06341172968145281,0,1
5,unlabeled,574,26.537441848537387,26.537441848537387,0.6445370646025603,0,1
6,unlabeled,434,28.84583602748713,28.84583602748713,0.7386126823459362,0,1
7,unlabeled,155,32.01571022491821,32.01571022491821,0.8425126525751712,0,1
8,unlabeled,149,27.598659718104848,27.598659718104848,0.6909794581720751,0,1
9,unlabeled,47,20.201818770748265,20.201818770748265,0.3155701101518309,0,1
10,unlabeled,107,18.733176615606144,18.733176615606144,0.23191426019648706,0,1
11,negative,95,16.168909279066877,16.168909279066877,0.08961000297707651,0,1
12,negative,379,16.959292703153636,16.959292703153636,0.1309913664781185,0,1
13,negative,88,14.830575584398249,14.830575584398249,0.0479309318249479,0,1
14,positive,320,36.84191678276288,36.84191678276288,0.914855611789223,0,1
15,unlabeled,258,31.07136165587714,31.07136165587714,0.8160166716284608,0,1
16,unlabeled,127,20.4975951154365,20.4975951154365,0.3364096457278952,0,1
17,unlabeled,211,19.880221727567854,19.880221727567854,0.2920512057159869,0,1
18,unlabeled,359,25.517902192708547,25.517902192708547,0.5986900863352188,0,1
19,unlabeled,163,26.240128636636403,26.240128636636403,0.6332241738612683,0,1
20,unlabeled,750,27.73694596993103,27.73694596993103,0.6966359035427211,0,1
21,positive,373,41.721129902162,41.721129902162,0.949687406966359,0,1
22,unlabeled,312,28.262278322260073,28.262278322260073,0.7189639773742185,0,1
23,positive,269,42.64932218474982,42.64932218474982,0.9580232211967847,0,1
24,unlabeled,505,20.200443794646358,20.200443794646358,0.3149746948496576,0,1
25,unlabeled,226,20.337309709036592,20.337309709036592,0.32598987793986306,0,1
26,unlabeled,155,23.071147637953914,23.071147637953914,0.4784161952962191,0,1
27,unlabeled,351,24.51265827430623,24.51265827430623,0.5492706162548378,0,1
28,unlabeled,373,25.000136243686484,25.000136243686484,0.5718963977374218,0,1
29,unlabeled,236,30.46256162262708,30.46256162262708,0.7957725513545698,0,1
30,unlabeled,354,21.908492633807576,21.908492633807576,0.41887466507889254,0,1
31,negative,385,18.0149740953688,18.0149740953688,0.19053289669544507,0,1
32,negative,416,17.81116028307979,17.81116028307979,0.1816016671628461,0,1
33,unlabeled,652,32.031418408940105,32.031418408940105,0.8431080678773445,0,1
34,unlabeled,187,26.155453992561558,26.155453992561558,0.6263768978862757,0,1
35,unlabeled,426,25.39054694255807,25.39054694255807,0.593629056266746,0,1
36,unlabeled,295,22.920029478771184,22.920029478771184,0.46978267341470675,0,1
37,negative,225,16.247757604476043,16.247757604476043,0.094075617743376,0,1
38,unlabeled,333,31.370963221840732,31.370963221840732,0.8243524858588865,0,1
39,unlabeled,522,26.100145688638396,26.100145688638396,0.6245906519797558,0,1
40,positive,387,47.16706455341756,47.16706455341756,0.985412325096755,0,1
41,unlabeled,257,19.32349554245625,19.32349554245625,0.2581125334921108,0,1
42,positive,416,35.49025679250353,35.49025679250353,0.9008633521881513,0,1
43,unlabeled,513,29.822721073625782,29.822721073625782,0.7734444775230723,0,1
44,unlabeled,459,27.275202344191136,27.275202344191136,0.6760940756177434,0,1
45,positive,373,41.72785518720909,41.72785518720909,0.9502828222685323,0,1
46,unlabeled,294,21.57488145842632,21.57488145842632,0.4010122060136945,0,1
47,unlabeled,199,24.03913058917961,24.03913058917961,0.5275379577255136,0,1
48,unlabeled,184,25.19114307721196,25.19114307721196,0.5838047037808872,0,1
49,unlabeled,303,23.78442402984889,23.78442402984889,0.5132479904733551,0,1
50,unlabeled,337,30.373375318139814,30.373375318139814,0.7930931824947901,0,1
51,unlabeled,290,22.190872763332216,22.190872763332216,0.43435546293539745,0,1
52,unlabeled,47,18.244980891032764,18.244980891032764,0.20392974099434355,0,1
53,negative,426,16.40399232993076,16.40399232993076,0.10181601667162846,0,1
54,negative,86,14.947110300337158,14.947110300337158,0.0488240547782078,0,1
55,negative,72,15.902565597256247,15.902565597256247,0.07770169693361119,0,1
56,unlabeled,490,23.737920671605266,23.737920671605266,0.5105686216135755,0,1
57,unlabeled,465,19.55856136315772,19.55856136315772,0.26972313188448943,0,1
58,unlabeled,218,31.11225127396382,31.11225127396382,0.817505209883894,0,1
59,negative,485,17.234904851969596,17.234904851969596,0.14438821077701697,0,1
60,negative,434,16.61808686057848,16.61808686057848,0.11521286097052694,0,1
61,unlabeled,257,23.874668531021594,23.874668531021594,0.517415897588568,0,1
62,unlabeled,115,20.569905952834706,20.569905952834706,0.34206609109854125,0,1
63,unlabeled,321,21.872968273563217,21.872968273563217,0.41827924977671926,0,1
64,unlabeled,278,18.98329719538771,18.98329719538771,0.24441798154212563,0,1
65,unlabeled,180,27.635690245140314,27.635690245140314,0.6921702887764215,0,1
66,positive,552,48.86814585518139,48.86814585518139,0.991068770467401,0,1
