evidence_id,setting,proxy_family,proxy_signal,proxy_selected_method,proxy_selected_endpoint,endpoint_winner,endpoint_winner_endpoint,proxy_matches_endpoint,deployable_proxy,audit_only,support_purity,hidden_positive_recall,hidden_bad_admission,coverage_proxy_score,source,interpretation
coverage_proxy_can40,Can 40p/80b,coverage proxy,selects the largest hidden-label-free support coverage score,weighted BC full pool,90/150,positive-NN/risk union top40,116/150,false,true,false,0.333,1.000,1.000,1.000,results/final_paper/tables/proxy_endpoint_validation_winners.csv; results/final_paper/tables/candidate_family_audit.csv,"Coverage is useful on some broad-coverage settings, but it over-selects weighted support on contaminated Can when precision matters."
coverage_proxy_lift_mg,Lift MG,coverage proxy,selects the largest hidden-label-free support coverage score,weighted BC,93/150,weighted BC,93/150,true,true,false,0.194,1.000,1.000,1.000,results/final_paper/tables/proxy_endpoint_validation_winners.csv; results/final_paper/tables/candidate_family_audit.csv,"Coverage is useful on some broad-coverage settings, but it over-selects weighted support on contaminated Can when precision matters."
coverage_proxy_can20,Can 20p/80b,coverage proxy,selects the largest hidden-label-free support coverage score,weighted BC full pool,18/50,positive-only NN top20,54/100,false,true,false,0.200,1.000,1.000,1.000,results/final_paper/tables/proxy_endpoint_validation_winners.csv; results/final_paper/tables/candidate_family_audit.csv,"Coverage is useful on some broad-coverage settings, but it over-selects weighted support on contaminated Can when precision matters."
coverage_proxy_can80,Can 80p/80b,coverage proxy,selects the largest hidden-label-free support coverage score,positive-only NN top80,49/50,positive-only NN top80,49/50,true,true,false,0.917,0.917,0.083,0.500,results/final_paper/tables/proxy_endpoint_validation_winners.csv; results/final_paper/tables/candidate_family_audit.csv,"Coverage is useful on some broad-coverage settings, but it over-selects weighted support on contaminated Can when precision matters."
audit_score_can40,Can 40p/80b,audit-only support score,maximizes hidden-positive recall minus hidden-bad admission; not deployable,positive-NN/risk union top40,116/150,positive-NN/risk union top40,116/150,true,false,true,0.881,0.992,0.067,0.375,results/final_paper/tables/proxy_endpoint_validation_winners.csv; results/final_paper/tables/candidate_family_audit.csv,"Even an audit-only support score fails on Lift MG, showing that label purity and hidden-positive recall do not by themselves predict policy quality."
audit_score_lift_mg,Lift MG,audit-only support score,maximizes hidden-positive recall minus hidden-bad admission; not deployable,classifier top-k,68/150,weighted BC,93/150,false,false,true,0.963,0.558,0.005,0.113,results/final_paper/tables/proxy_endpoint_validation_winners.csv; results/final_paper/tables/candidate_family_audit.csv,"Even an audit-only support score fails on Lift MG, showing that label purity and hidden-positive recall do not by themselves predict policy quality."
audit_score_can20,Can 20p/80b,audit-only support score,maximizes hidden-positive recall minus hidden-bad admission; not deployable,positive-only NN top20,54/100,positive-only NN top20,54/100,true,false,true,0.817,0.817,0.046,0.200,results/final_paper/tables/proxy_endpoint_validation_winners.csv; results/final_paper/tables/candidate_family_audit.csv,"Even an audit-only support score fails on Lift MG, showing that label purity and hidden-positive recall do not by themselves predict policy quality."
audit_score_can80,Can 80p/80b,audit-only support score,maximizes hidden-positive recall minus hidden-bad admission; not deployable,positive-only NN top80,49/50,positive-only NN top80,49/50,true,false,true,0.917,0.917,0.083,0.500,results/final_paper/tables/proxy_endpoint_validation_winners.csv; results/final_paper/tables/candidate_family_audit.csv,"Even an audit-only support score fails on Lift MG, showing that label purity and hidden-positive recall do not by themselves predict policy quality."
can_mg_valid_positive_ll,Can MG original,positive likelihood,valid_positive_ll,allpositive,0.200,weighted,0.333,false,true,false,,,,,results/final_paper/ablations/can_mg_branch_proxy_summary/proxy_winners.csv; results/final_paper/ablations/can_mg_branch_proxy_summary/method_proxy_scores.csv,"Likelihood-style branch scoring selects all-positive hard support on original Can MG, but weighted BC is rollout-best."
can_mg_labeled_positive_ll,Can MG original,positive likelihood,labeled_positive_ll,allpositive,0.200,weighted,0.333,false,true,false,,,,,results/final_paper/ablations/can_mg_branch_proxy_summary/proxy_winners.csv; results/final_paper/ablations/can_mg_branch_proxy_summary/method_proxy_scores.csv,"Likelihood-style branch scoring selects all-positive hard support on original Can MG, but weighted BC is rollout-best."
