demo_id,role,hidden_label,transition_count,bc_selected_mass,negative_loss_mass,selected_negative_obs_distance_mean,selected_negative_action_distance_mean,selected_negative_state_action_distance_mean
demo_0,extra_masked,bad,122,0,0,,,
demo_2,anchor,labeled_or_anchor,94,94,94,2.791243,2.582649,3.869943
demo_10,extra_masked,bad,130,0,0,,,
demo_12,extra_masked,bad,104,0,0,,,
demo_13,anchor,labeled_or_anchor,121,121,121,3.476779,3.637744,5.213089
demo_14,extra_masked,bad,100,0,0,,,
demo_15,anchor,labeled_or_anchor,121,121,121,3.641199,3.320074,5.041039
demo_16,extra_masked,bad,101,0,0,,,
demo_17,anchor,labeled_or_anchor,121,121,121,3.641448,3.257585,5.033665
demo_18,extra_masked,bad,84,3,3,3.263140,4.187910,5.315172
demo_19,anchor,labeled_or_anchor,103,103,103,3.762841,3.576816,5.284216
demo_20,extra_masked,bad,100,3,3,3.996828,2.785400,4.875082
demo_21,anchor,labeled_or_anchor,100,100,100,3.716149,3.569913,5.313130
demo_22,extra_masked,bad,97,0,0,,,
demo_24,extra_masked,bad,107,0,0,,,
demo_25,anchor,labeled_or_anchor,129,129,129,4.331632,3.388067,5.672307
demo_26,extra_masked,bad,103,0,0,,,
demo_27,anchor,labeled_or_anchor,130,130,130,3.929519,3.535225,5.445039
demo_30,extra_masked,bad,100,0,0,,,
demo_31,extra_masked,positive,145,60,60,5.765933,5.342402,8.102134
demo_32,extra_masked,bad,98,0,0,,,
demo_36,extra_masked,bad,120,0,0,,,
demo_37,anchor,labeled_or_anchor,98,98,98,3.645364,3.714920,5.402105
demo_40,extra_masked,bad,102,0,0,,,
demo_41,anchor,labeled_or_anchor,117,117,117,3.115089,3.029345,4.487395
demo_42,extra_masked,bad,103,0,0,,,
demo_43,anchor,labeled_or_anchor,107,107,107,3.736446,3.300509,5.137974
demo_48,extra_masked,bad,117,0,0,,,
demo_49,extra_masked,positive,136,52,52,6.397978,5.276909,8.620172
demo_50,extra_masked,bad,112,0,0,,,
demo_51,extra_masked,positive,130,53,53,7.431109,5.455618,9.546719
demo_54,extra_masked,bad,95,0,0,,,
demo_55,anchor,labeled_or_anchor,108,108,108,3.344426,3.792685,5.155068
demo_56,extra_masked,bad,99,1,1,3.382016,2.192595,4.030572
