demo_id,role,hidden_label,transition_count,bc_selected_mass,negative_loss_mass,selected_negative_obs_distance_mean,selected_negative_action_distance_mean,selected_negative_state_action_distance_mean
demo_0,extra_masked,bad,122,0,0,,,
demo_2,extra_masked,bad,94,0,0,,,
demo_6,extra_masked,bad,114,0,0,,,
demo_8,extra_masked,bad,100,0,0,,,
demo_9,anchor,labeled_or_anchor,130,130,130,3.840965,3.664866,5.435039
demo_11,anchor,labeled_or_anchor,141,141,141,3.318047,3.058740,4.726535
demo_12,extra_masked,bad,104,0,0,,,
demo_14,extra_masked,bad,100,0,0,,,
demo_15,anchor,labeled_or_anchor,121,121,121,3.985133,3.167944,5.178822
demo_16,extra_masked,bad,101,0,0,,,
demo_17,extra_masked,positive,121,46,46,6.248429,4.743404,7.972657
demo_18,extra_masked,bad,84,1,1,5.430901,10.654467,11.958776
demo_19,anchor,labeled_or_anchor,103,103,103,3.064893,3.827833,4.986863
demo_20,extra_masked,bad,100,0,0,,,
demo_22,extra_masked,bad,97,0,0,,,
demo_24,extra_masked,bad,107,0,0,,,
demo_25,anchor,labeled_or_anchor,129,129,129,3.801177,3.368863,5.300191
demo_26,extra_masked,bad,103,0,0,,,
demo_27,extra_masked,positive,130,45,45,7.423094,5.210926,9.238651
demo_30,extra_masked,bad,100,0,0,,,
demo_32,extra_masked,bad,98,0,0,,,
demo_33,anchor,labeled_or_anchor,107,107,107,4.089317,3.580913,5.552912
demo_35,anchor,labeled_or_anchor,112,112,112,2.922808,3.143589,4.488850
demo_41,anchor,labeled_or_anchor,117,117,117,2.782635,3.054793,4.283232
demo_42,extra_masked,bad,103,0,0,,,
demo_43,anchor,labeled_or_anchor,107,107,107,3.993949,3.858097,5.652061
demo_46,extra_masked,bad,122,0,0,,,
demo_47,anchor,labeled_or_anchor,118,118,118,3.665581,3.522022,5.179328
demo_48,extra_masked,bad,117,20,20,3.382930,2.502809,4.235738
demo_49,anchor,labeled_or_anchor,136,136,136,4.364339,3.887651,6.097943
demo_50,extra_masked,bad,112,0,0,,,
demo_54,anchor,labeled_or_anchor,95,95,95,3.143319,2.903791,4.376661
demo_55,anchor,labeled_or_anchor,108,108,108,3.346038,3.140018,4.675479
demo_56,extra_masked,bad,99,0,0,,,
demo_57,anchor,labeled_or_anchor,115,115,115,3.447544,3.339511,4.929117
demo_58,extra_masked,bad,88,0,0,,,
demo_59,anchor,labeled_or_anchor,91,91,91,3.233338,3.481357,4.840278
demo_61,extra_masked,positive,130,48,48,6.591948,4.938399,8.452514
demo_62,extra_masked,bad,80,0,0,,,
demo_63,anchor,labeled_or_anchor,98,98,98,3.103762,3.957950,5.114037
demo_64,extra_masked,bad,95,0,0,,,
demo_66,extra_masked,bad,109,0,0,,,
demo_69,anchor,labeled_or_anchor,118,118,118,3.612006,3.701742,5.332942
demo_70,extra_masked,bad,71,0,0,,,
demo_72,extra_masked,bad,89,0,0,,,
demo_73,anchor,labeled_or_anchor,129,129,129,4.555943,3.954842,6.195250
demo_74,extra_masked,bad,101,0,0,,,
demo_75,anchor,labeled_or_anchor,145,145,145,4.195173,3.669317,5.661290
demo_76,extra_masked,bad,101,0,0,,,
demo_78,extra_masked,bad,80,0,0,,,
demo_79,anchor,labeled_or_anchor,92,92,92,3.520868,3.663872,5.250012
demo_82,extra_masked,bad,82,0,0,,,
demo_84,extra_masked,bad,83,0,0,,,
demo_86,anchor,labeled_or_anchor,73,73,73,2.951307,3.592631,4.717641
demo_92,extra_masked,bad,66,0,0,,,
demo_94,extra_masked,bad,86,0,0,,,
demo_95,anchor,labeled_or_anchor,105,105,105,3.354736,3.433599,4.947433
demo_96,extra_masked,bad,82,0,0,,,
demo_97,extra_masked,positive,89,44,44,6.411901,5.053060,8.386680
demo_100,extra_masked,bad,89,0,0,,,
demo_101,anchor,labeled_or_anchor,98,98,98,3.517816,3.944545,5.446244
demo_103,anchor,labeled_or_anchor,121,121,121,3.800244,4.023293,5.706053
demo_106,anchor,labeled_or_anchor,68,68,68,2.752741,3.421635,4.474865
demo_107,anchor,labeled_or_anchor,86,86,86,3.597393,3.706884,5.345317
demo_110,extra_masked,bad,80,0,0,,,
demo_111,anchor,labeled_or_anchor,95,95,95,3.511904,4.053758,5.574010
demo_112,extra_masked,bad,93,0,0,,,
demo_114,extra_masked,bad,110,0,0,,,
demo_115,anchor,labeled_or_anchor,127,127,127,4.405003,3.544243,5.770585
demo_116,extra_masked,bad,103,0,0,,,
demo_117,anchor,labeled_or_anchor,129,129,129,4.114819,3.910184,5.823001
demo_118,extra_masked,bad,80,0,0,,,
demo_120,extra_masked,bad,100,0,0,,,
demo_122,extra_masked,bad,84,0,0,,,
demo_123,anchor,labeled_or_anchor,119,119,119,3.658740,3.530607,5.311944
demo_124,extra_masked,bad,75,0,0,,,
demo_125,anchor,labeled_or_anchor,88,88,88,3.530549,3.560204,5.141057
demo_126,extra_masked,bad,88,0,0,,,
demo_128,extra_masked,bad,89,0,0,,,
demo_130,extra_masked,bad,85,0,0,,,
demo_132,extra_masked,bad,60,0,0,,,
demo_133,anchor,labeled_or_anchor,94,94,94,3.396869,4.034142,5.453474
demo_134,extra_masked,bad,69,1,1,4.309771,11.100157,11.907460
demo_135,anchor,labeled_or_anchor,95,95,95,3.835567,4.077541,5.742651
demo_136,extra_masked,bad,61,1,1,5.195765,10.167090,11.417779
demo_138,anchor,labeled_or_anchor,55,55,55,2.909278,3.800841,4.861772
demo_139,anchor,labeled_or_anchor,82,82,82,4.213227,4.505950,6.284616
demo_140,extra_masked,bad,103,0,0,,,
demo_142,extra_masked,bad,76,1,1,5.687209,10.492929,11.935070
demo_146,extra_masked,bad,90,14,14,3.645706,3.135375,4.919526
demo_147,anchor,labeled_or_anchor,91,91,91,4.335258,4.325308,6.224935
demo_148,extra_masked,bad,67,0,0,,,
demo_150,extra_masked,bad,79,0,0,,,
demo_151,anchor,labeled_or_anchor,119,119,119,3.864187,3.578270,5.397169
demo_152,extra_masked,bad,89,0,0,,,
demo_154,extra_masked,bad,93,0,0,,,
demo_155,anchor,labeled_or_anchor,103,103,103,4.592518,4.158416,6.351332
demo_156,extra_masked,bad,63,0,0,,,
demo_157,anchor,labeled_or_anchor,81,81,81,3.579310,3.637956,5.285439
demo_158,extra_masked,bad,73,0,0,,,
demo_160,extra_masked,bad,73,0,0,,,
demo_162,extra_masked,bad,92,0,0,,,
demo_163,anchor,labeled_or_anchor,115,115,115,4.059739,3.674177,5.704417
demo_164,extra_masked,bad,67,1,1,5.440163,10.436285,11.769089
demo_165,anchor,labeled_or_anchor,105,105,105,3.411632,4.095229,5.508439
demo_166,extra_masked,bad,90,0,0,,,
demo_167,anchor,labeled_or_anchor,114,114,114,3.925295,3.805160,5.631347
demo_168,extra_masked,bad,81,0,0,,,
demo_170,extra_masked,bad,64,0,0,,,
demo_171,anchor,labeled_or_anchor,110,110,110,3.983240,3.601829,5.526166
demo_172,extra_masked,bad,74,0,0,,,
demo_174,extra_masked,bad,82,1,1,5.608626,10.339923,11.763107
demo_176,extra_masked,bad,68,0,0,,,
demo_177,anchor,labeled_or_anchor,99,99,99,3.919696,3.846759,5.679342
