demo_id,role,hidden_label,transition_count,bc_selected_mass,negative_loss_mass,selected_negative_obs_distance_mean,selected_negative_action_distance_mean,selected_negative_state_action_distance_mean
demo_0,extra_masked,bad,122,0,0,,,
demo_2,anchor,labeled_or_anchor,94,94,94,2.441593,2.715957,3.730759
demo_3,anchor,labeled_or_anchor,115,115,115,3.158126,3.177977,4.595794
demo_6,extra_masked,bad,114,0,0,,,
demo_8,extra_masked,bad,100,0,0,,,
demo_9,anchor,labeled_or_anchor,130,130,130,3.785573,3.482913,5.326896
demo_10,extra_masked,bad,130,0,0,,,
demo_13,anchor,labeled_or_anchor,121,121,121,3.528703,3.337798,5.026734
demo_14,extra_masked,bad,100,0,0,,,
demo_15,extra_masked,positive,121,29,29,7.776130,4.484147,9.041279
demo_16,extra_masked,bad,101,0,0,,,
demo_17,anchor,labeled_or_anchor,121,121,121,3.497914,3.132327,4.850267
demo_18,extra_masked,bad,84,0,0,,,
demo_20,extra_masked,bad,100,0,0,,,
demo_22,extra_masked,bad,97,12,12,2.801484,1.939053,3.432784
demo_23,anchor,labeled_or_anchor,103,103,103,4.099101,3.547158,5.549778
demo_24,extra_masked,bad,107,0,0,,,
demo_25,anchor,labeled_or_anchor,129,129,129,4.249432,3.584305,5.703440
demo_26,extra_masked,bad,103,0,0,,,
demo_30,extra_masked,bad,100,0,0,,,
demo_31,anchor,labeled_or_anchor,145,145,145,4.192899,3.670185,5.707967
demo_32,extra_masked,bad,98,4,4,3.268615,1.886197,3.786412
demo_33,anchor,labeled_or_anchor,107,107,107,3.985677,3.577041,5.543608
demo_34,extra_masked,bad,122,0,0,,,
demo_35,anchor,labeled_or_anchor,112,112,112,3.039429,3.271604,4.574902
demo_36,extra_masked,bad,120,0,0,,,
demo_40,extra_masked,bad,102,0,0,,,
demo_41,extra_masked,positive,117,35,35,5.921858,4.907534,7.799167
demo_42,extra_masked,bad,103,0,0,,,
demo_46,extra_masked,bad,122,0,0,,,
demo_48,extra_masked,bad,117,0,0,,,
demo_50,extra_masked,bad,112,0,0,,,
demo_54,extra_masked,bad,95,0,0,,,
demo_56,extra_masked,bad,99,0,0,,,
demo_58,extra_masked,bad,88,0,0,,,
demo_59,anchor,labeled_or_anchor,91,91,91,3.165302,3.064608,4.481153
demo_60,extra_masked,bad,129,0,0,,,
demo_61,anchor,labeled_or_anchor,130,130,130,3.880241,3.328246,5.257246
demo_62,extra_masked,bad,80,0,0,,,
demo_63,anchor,labeled_or_anchor,98,98,98,3.502112,4.025756,5.457964
demo_64,extra_masked,bad,95,0,0,,,
demo_65,anchor,labeled_or_anchor,138,138,138,4.570713,3.622684,6.016915
demo_66,extra_masked,bad,109,0,0,,,
demo_68,extra_masked,bad,99,0,0,,,
demo_69,anchor,labeled_or_anchor,118,118,118,3.493722,3.661428,5.228339
demo_70,anchor,labeled_or_anchor,71,71,71,2.372557,3.619291,4.373530
demo_72,extra_masked,bad,89,0,0,,,
demo_73,anchor,labeled_or_anchor,129,129,129,4.668441,3.790199,6.198273
demo_74,extra_masked,bad,101,7,7,2.920658,3.072670,4.250752
demo_78,extra_masked,bad,80,0,0,,,
demo_79,anchor,labeled_or_anchor,92,92,92,3.409197,3.379494,4.970570
demo_82,extra_masked,bad,82,0,0,,,
demo_84,extra_masked,bad,83,0,0,,,
demo_85,anchor,labeled_or_anchor,123,123,123,4.054618,3.895822,5.876020
demo_86,extra_masked,bad,73,0,0,,,
demo_87,anchor,labeled_or_anchor,91,91,91,3.664677,3.787625,5.366249
demo_90,extra_masked,bad,74,0,0,,,
demo_91,anchor,labeled_or_anchor,89,89,89,4.131533,4.683785,6.433493
demo_92,extra_masked,bad,66,0,0,,,
demo_93,extra_masked,positive,90,31,31,6.524291,5.150906,8.515573
demo_94,extra_masked,bad,86,0,0,,,
demo_95,anchor,labeled_or_anchor,105,105,105,3.336185,3.598631,5.039912
demo_96,extra_masked,bad,82,0,0,,,
demo_100,extra_masked,bad,89,0,0,,,
demo_101,anchor,labeled_or_anchor,98,98,98,3.560008,3.361971,5.036458
demo_102,extra_masked,bad,94,0,0,,,
demo_103,extra_masked,positive,121,54,54,6.244076,5.024557,8.307354
demo_106,extra_masked,bad,68,0,0,,,
demo_107,anchor,labeled_or_anchor,86,86,86,3.495062,3.851410,5.345759
demo_110,anchor,labeled_or_anchor,80,80,80,2.486622,3.237525,4.160982
demo_111,anchor,labeled_or_anchor,95,95,95,3.869237,3.866045,5.731944
demo_112,extra_masked,bad,93,5,5,3.523851,2.754985,4.543309
demo_113,anchor,labeled_or_anchor,137,137,137,4.688106,3.889151,6.338736
demo_114,extra_masked,bad,110,0,0,,,
demo_116,extra_masked,bad,103,0,0,,,
demo_118,extra_masked,bad,80,0,0,,,
demo_120,extra_masked,bad,100,0,0,,,
demo_121,anchor,labeled_or_anchor,110,110,110,3.169325,3.222327,4.610646
demo_123,anchor,labeled_or_anchor,119,119,119,3.246480,3.601223,5.095851
demo_124,extra_masked,bad,75,0,0,,,
demo_126,extra_masked,bad,88,0,0,,,
demo_127,anchor,labeled_or_anchor,95,95,95,3.204586,3.338160,4.796442
demo_130,extra_masked,bad,85,0,0,,,
demo_132,extra_masked,bad,60,1,1,4.141241,12.001696,12.696085
demo_134,extra_masked,bad,69,0,0,,,
demo_136,extra_masked,bad,61,0,0,,,
demo_138,extra_masked,bad,55,0,0,,,
demo_139,anchor,labeled_or_anchor,82,82,82,4.164837,4.131427,6.045957
demo_140,extra_masked,bad,103,0,0,,,
demo_141,anchor,labeled_or_anchor,126,126,126,4.765281,3.809216,6.285882
demo_142,anchor,labeled_or_anchor,76,76,76,2.337996,3.322938,4.134812
demo_144,extra_masked,bad,81,0,0,,,
demo_146,extra_masked,bad,90,0,0,,,
