demo_id,role,hidden_label,classifier_score,transition_count,selected_transition_count,selected_fraction,margin_mean,margin_p25,margin_p50,margin_p75
demo_0,extra_masked,bad,0.436224,122,0,0.000000,-0.720371,-1.021037,-0.138231,0.091732
demo_2,anchor,labeled_or_anchor,0.177480,94,94,1.000000,,,,
demo_3,anchor,labeled_or_anchor,0.823307,115,115,1.000000,,,,
demo_6,extra_masked,bad,0.017632,114,0,0.000000,-1.473432,-1.482086,-1.284086,-0.995840
demo_7,extra_masked,positive,0.430510,124,34,0.274194,0.147267,-1.367007,-1.199723,2.273238
demo_8,extra_masked,bad,0.152394,100,0,0.000000,-0.050292,-0.295347,0.126853,0.261819
demo_9,anchor,labeled_or_anchor,0.586939,130,130,1.000000,,,,
demo_10,extra_masked,bad,0.058647,130,0,0.000000,0.212336,-0.166645,0.058563,0.371396
demo_12,extra_masked,bad,0.287046,104,0,0.000000,-0.678307,-0.602831,-0.149990,0.055762
demo_13,anchor,labeled_or_anchor,0.862385,121,121,1.000000,,,,
demo_14,extra_masked,bad,0.008733,100,0,0.000000,-1.554840,-1.778887,-1.544800,-0.871598
demo_15,extra_masked,positive,0.375649,121,4,0.033058,-0.205709,-1.464095,-1.190332,1.574919
demo_16,extra_masked,bad,0.391654,101,0,0.000000,-0.266129,-0.562581,0.375214,0.683307
demo_18,extra_masked,bad,0.577295,84,0,0.000000,-1.038836,-2.675888,-0.050683,0.290936
demo_19,anchor,labeled_or_anchor,0.878286,103,103,1.000000,,,,
demo_20,extra_masked,bad,0.481252,100,3,0.030000,-0.430196,-0.913524,0.100510,0.489813
demo_21,anchor,labeled_or_anchor,1.000000,100,100,1.000000,,,,
demo_24,extra_masked,bad,0.091937,107,0,0.000000,-0.036038,-0.082726,0.532876,0.839286
demo_26,extra_masked,bad,0.295388,103,0,0.000000,-0.656914,-2.081623,0.346724,0.631077
demo_27,anchor,labeled_or_anchor,0.677781,130,130,1.000000,,,,
demo_30,extra_masked,bad,0.003634,100,0,0.000000,-0.644550,-1.007671,-0.109243,0.008179
demo_32,extra_masked,bad,0.135149,98,0,0.000000,-1.142881,-1.782696,-0.389738,-0.262569
demo_33,anchor,labeled_or_anchor,0.589376,107,107,1.000000,,,,
demo_34,extra_masked,bad,0.208385,122,0,0.000000,-0.984038,-1.934373,-0.568599,-0.166827
demo_36,extra_masked,bad,0.202146,120,0,0.000000,-0.597646,-1.104259,-0.116682,0.280575
demo_40,extra_masked,bad,0.224372,102,0,0.000000,-0.185811,-0.071043,0.215625,0.427664
demo_42,extra_masked,bad,0.235709,103,0,0.000000,-0.913698,-1.411971,-0.443794,-0.144650
demo_43,anchor,labeled_or_anchor,0.689286,107,107,1.000000,,,,
demo_50,extra_masked,bad,0.379496,112,1,0.008929,0.368630,0.059646,0.974786,1.207051
demo_51,anchor,labeled_or_anchor,0.797887,130,130,1.000000,,,,
demo_54,extra_masked,bad,0.580859,95,0,0.000000,-0.799400,-2.085841,-0.183097,0.384615
demo_56,extra_masked,bad,0.466221,99,0,0.000000,-0.262535,-0.701156,0.483279,0.718588
demo_57,anchor,labeled_or_anchor,0.860558,115,115,1.000000,,,,
demo_58,extra_masked,bad,0.663714,88,0,0.000000,-0.974000,-2.064068,-0.332516,0.042395
demo_59,anchor,labeled_or_anchor,0.920122,91,91,1.000000,,,,
demo_60,extra_masked,bad,0.295129,129,0,0.000000,-0.193366,-0.785770,0.223345,0.430723
demo_61,anchor,labeled_or_anchor,0.702721,130,130,1.000000,,,,
demo_62,anchor,labeled_or_anchor,0.716357,80,80,1.000000,,,,
demo_64,extra_masked,bad,0.011414,95,0,0.000000,-0.659550,-0.889784,-0.690634,-0.319540
demo_68,extra_masked,bad,0.317216,99,0,0.000000,-0.016176,-0.567285,-0.016450,0.604210
demo_69,anchor,labeled_or_anchor,1.000000,118,118,1.000000,,,,
demo_70,anchor,labeled_or_anchor,0.581061,71,71,1.000000,,,,
demo_71,anchor,labeled_or_anchor,1.000000,91,91,1.000000,,,,
demo_72,extra_masked,bad,0.000642,89,0,0.000000,-1.691521,-2.050891,-1.315691,-1.172370
demo_73,extra_masked,positive,0.415715,129,25,0.193798,0.651898,-0.742738,-0.419033,1.680064
demo_74,extra_masked,bad,0.098167,101,0,0.000000,-1.681820,-2.728499,-0.619155,-0.240142
demo_76,extra_masked,bad,0.484753,101,0,0.000000,-1.097777,-1.126472,-0.662851,-0.398455
demo_78,extra_masked,bad,0.431371,80,0,0.000000,-0.871834,-2.188441,-0.155244,0.071371
demo_82,extra_masked,bad,0.037763,82,0,0.000000,-0.809476,-1.300098,-0.195534,-0.043708
demo_83,anchor,labeled_or_anchor,0.576108,109,109,1.000000,,,,
demo_84,extra_masked,bad,0.014915,83,0,0.000000,-0.612817,-1.356257,0.052214,0.276778
demo_85,anchor,labeled_or_anchor,0.449840,123,123,1.000000,,,,
demo_86,extra_masked,bad,0.650258,73,0,0.000000,-0.316508,-1.481890,0.185404,0.371617
demo_87,anchor,labeled_or_anchor,1.000000,91,91,1.000000,,,,
demo_90,extra_masked,bad,0.711182,74,0,0.000000,-0.149466,-1.133129,0.319725,0.790569
demo_92,extra_masked,bad,0.088361,66,0,0.000000,-1.576715,-2.080188,-1.406225,-1.343534
demo_93,anchor,labeled_or_anchor,0.499445,90,90,1.000000,,,,
demo_94,extra_masked,bad,0.393256,86,0,0.000000,-0.395552,-0.509747,-0.261920,0.382846
demo_95,anchor,labeled_or_anchor,0.797786,105,105,1.000000,,,,
demo_96,extra_masked,bad,0.549304,82,0,0.000000,-1.201229,-1.758764,-0.429911,-0.199793
demo_100,extra_masked,bad,0.397237,89,0,0.000000,-0.683741,-0.853019,-0.175393,0.133644
demo_102,extra_masked,bad,0.053388,94,0,0.000000,-0.627969,-0.641289,-0.218974,-0.013678
demo_106,extra_masked,bad,0.344908,68,0,0.000000,-1.160321,-2.235952,-0.623217,-0.173365
demo_107,anchor,labeled_or_anchor,0.836693,86,86,1.000000,,,,
demo_108,extra_masked,bad,0.010929,94,0,0.000000,-1.064590,-1.442725,-0.627293,-0.075881
demo_109,extra_masked,positive,0.357731,147,54,0.367347,0.906648,-0.809500,-0.423633,2.762568
demo_110,anchor,labeled_or_anchor,0.364704,80,80,1.000000,,,,
demo_111,anchor,labeled_or_anchor,0.794931,95,95,1.000000,,,,
demo_112,extra_masked,bad,0.102944,93,0,0.000000,-0.425870,-1.732518,0.395984,0.838904
demo_113,anchor,labeled_or_anchor,0.557848,137,137,1.000000,,,,
demo_114,extra_masked,bad,0.152933,110,0,0.000000,-0.845486,-0.874884,-0.150673,0.065426
demo_115,anchor,labeled_or_anchor,0.621004,127,127,1.000000,,,,
demo_116,extra_masked,bad,0.051973,103,0,0.000000,-1.426441,-3.151676,-0.342146,0.151541
demo_119,extra_masked,positive,0.485342,91,39,0.428571,0.364638,-2.166487,0.187437,2.557746
demo_120,extra_masked,bad,0.439600,100,0,0.000000,-0.311535,-0.549739,0.219494,0.473537
demo_121,anchor,labeled_or_anchor,1.000000,110,110,1.000000,,,,
demo_122,extra_masked,bad,0.013861,84,0,0.000000,-1.030882,-2.093637,-0.322349,-0.166826
demo_124,extra_masked,bad,0.145846,75,0,0.000000,-2.258346,-3.109423,-1.689998,-1.441445
demo_126,extra_masked,bad,0.236890,88,0,0.000000,-0.688101,-1.183139,-0.283197,-0.110360
demo_127,anchor,labeled_or_anchor,0.643983,95,95,1.000000,,,,
demo_128,extra_masked,bad,0.286296,89,0,0.000000,-0.617005,-0.902421,0.082864,0.310707
demo_129,anchor,labeled_or_anchor,0.778863,104,104,1.000000,,,,
demo_130,extra_masked,bad,0.365667,85,0,0.000000,-0.455350,-1.148290,0.108278,0.671786
demo_131,anchor,labeled_or_anchor,0.898600,95,95,1.000000,,,,
demo_133,anchor,labeled_or_anchor,1.000000,94,94,1.000000,,,,
demo_134,extra_masked,bad,0.094061,69,0,0.000000,-0.961454,-1.994032,-0.383761,0.007806
demo_135,anchor,labeled_or_anchor,0.674210,95,95,1.000000,,,,
demo_136,extra_masked,bad,0.177262,61,0,0.000000,-1.308957,-2.448043,-0.532463,0.028084
demo_137,anchor,labeled_or_anchor,0.778159,96,96,1.000000,,,,
demo_138,anchor,labeled_or_anchor,0.461232,55,55,1.000000,,,,
demo_139,anchor,labeled_or_anchor,1.000000,82,82,1.000000,,,,
demo_140,extra_masked,bad,0.009029,103,0,0.000000,-0.470147,-0.403146,-0.015150,0.067110
demo_142,anchor,labeled_or_anchor,0.383071,76,76,1.000000,,,,
demo_145,anchor,labeled_or_anchor,0.847712,88,88,1.000000,,,,
demo_146,extra_masked,bad,0.498482,90,0,0.000000,-0.996026,-1.456883,-0.531192,-0.056276
demo_148,extra_masked,bad,0.022429,67,0,0.000000,-0.941063,-1.628065,-0.535921,-0.297289
demo_149,extra_masked,positive,0.498811,118,58,0.491525,2.641394,-0.141153,1.371805,5.507289
demo_150,extra_masked,bad,0.018097,79,0,0.000000,-0.929770,-1.571449,-0.389757,-0.181649
demo_152,extra_masked,bad,0.148965,89,0,0.000000,-0.914141,-1.968843,-0.648611,0.715793
demo_153,anchor,labeled_or_anchor,1.000000,101,101,1.000000,,,,
demo_154,extra_masked,bad,0.006910,93,0,0.000000,-1.546947,-1.669598,-1.254079,-1.087803
demo_155,extra_masked,positive,0.522259,103,28,0.271845,0.750603,-1.110006,1.039062,2.275159
demo_159,anchor,labeled_or_anchor,0.865658,92,92,1.000000,,,,
demo_160,extra_masked,bad,0.001471,73,0,0.000000,-2.473544,-2.994912,-2.083951,-1.765833
demo_161,extra_masked,positive,0.485212,91,25,0.274725,0.341984,-1.624496,0.315943,2.046031
demo_162,extra_masked,bad,0.103254,92,0,0.000000,0.134252,-0.067196,0.621527,0.824948
demo_164,extra_masked,bad,0.136723,67,0,0.000000,-0.908818,-1.897670,-0.441124,0.099464
demo_165,anchor,labeled_or_anchor,0.707177,105,105,1.000000,,,,
demo_166,extra_masked,bad,0.534308,90,0,0.000000,0.144195,0.054405,0.643731,0.835844
demo_167,anchor,labeled_or_anchor,0.852804,114,114,1.000000,,,,
demo_168,extra_masked,bad,0.508432,81,0,0.000000,-0.154403,-0.405974,0.227038,0.593445
demo_169,anchor,labeled_or_anchor,1.000000,97,97,1.000000,,,,
demo_170,extra_masked,bad,0.185358,64,0,0.000000,-0.931058,-1.883781,-0.548670,-0.019054
demo_172,extra_masked,bad,0.005222,74,0,0.000000,-1.643326,-2.653859,-1.117333,-0.599483
demo_174,extra_masked,bad,0.007227,82,0,0.000000,-0.877252,-1.088780,-0.638162,-0.282586
demo_175,extra_masked,positive,0.425317,130,55,0.423077,2.037897,-0.549715,0.622707,4.852789
demo_176,extra_masked,bad,0.073915,68,0,0.000000,-1.410034,-2.061870,-0.555174,-0.332995
demo_178,extra_masked,bad,0.010973,68,0,0.000000,-0.876131,-2.038367,-0.048104,0.107887
demo_181,anchor,labeled_or_anchor,0.459348,127,127,1.000000,,,,
demo_182,extra_masked,bad,0.166976,74,0,0.000000,-1.838908,-2.412292,-1.618268,-1.252877
demo_184,anchor,labeled_or_anchor,0.701099,58,58,1.000000,,,,
demo_186,extra_masked,bad,0.020210,76,0,0.000000,-1.504580,-2.530442,-0.832049,-0.693972
demo_190,anchor,labeled_or_anchor,0.505545,67,67,1.000000,,,,
demo_191,anchor,labeled_or_anchor,1.000000,89,89,1.000000,,,,
demo_192,extra_masked,bad,0.283894,75,0,0.000000,-0.765499,-1.633401,0.259257,0.648936
demo_193,anchor,labeled_or_anchor,0.795317,107,107,1.000000,,,,
demo_194,extra_masked,bad,0.285224,82,0,0.000000,-1.044693,-1.196240,-0.582950,-0.220580
demo_196,extra_masked,bad,0.403138,83,0,0.000000,0.042097,-0.528175,0.605429,1.037490
demo_197,anchor,labeled_or_anchor,0.802007,103,103,1.000000,,,,
demo_198,anchor,labeled_or_anchor,0.125169,64,64,1.000000,,,,
