demo_id,role,hidden_label,transition_count,bc_selected_mass,negative_loss_mass,selected_negative_obs_distance_mean,selected_negative_action_distance_mean,selected_negative_state_action_distance_mean
demo_2,extra_masked,bad,94,0,0,,,
demo_6,extra_masked,bad,114,0,0,,,
demo_7,anchor,labeled_or_anchor,124,124,124,4.071198,3.787414,5.691539
demo_8,extra_masked,bad,100,0,0,,,
demo_10,extra_masked,bad,130,2,2,16.637178,4.301455,17.184820
demo_11,anchor,labeled_or_anchor,141,141,141,4.033842,3.559641,5.519582
demo_12,extra_masked,bad,104,0,0,,,
demo_14,extra_masked,bad,100,0,0,,,
demo_15,anchor,labeled_or_anchor,121,121,121,4.409334,3.588381,5.824975
demo_16,extra_masked,bad,101,0,0,,,
demo_18,extra_masked,bad,84,0,0,,,
demo_19,anchor,labeled_or_anchor,103,103,103,3.917790,3.354004,5.285799
demo_20,extra_masked,bad,100,0,0,,,
demo_22,extra_masked,bad,97,0,0,,,
demo_23,extra_masked,positive,103,38,38,6.542319,5.010000,8.408917
demo_24,extra_masked,bad,107,3,3,2.657448,2.250193,3.482457
demo_25,anchor,labeled_or_anchor,129,129,129,4.068409,3.451204,5.484006
demo_26,extra_masked,bad,103,0,0,,,
demo_27,anchor,labeled_or_anchor,130,130,130,3.872284,3.566067,5.509477
demo_30,extra_masked,bad,100,0,0,,,
demo_31,anchor,labeled_or_anchor,145,145,145,3.971989,3.686422,5.595182
demo_32,extra_masked,bad,98,0,0,,,
demo_33,anchor,labeled_or_anchor,107,107,107,3.818061,3.594699,5.416868
demo_34,extra_masked,bad,122,0,0,,,
demo_37,anchor,labeled_or_anchor,98,98,98,3.348492,3.578071,5.146911
demo_40,extra_masked,bad,102,0,0,,,
demo_41,anchor,labeled_or_anchor,117,117,117,3.183308,3.309085,4.713583
demo_42,extra_masked,bad,103,0,0,,,
demo_46,extra_masked,bad,122,0,0,,,
demo_48,extra_masked,bad,117,0,0,,,
demo_51,anchor,labeled_or_anchor,130,130,130,4.113363,3.467260,5.605196
demo_54,extra_masked,bad,95,0,0,,,
demo_57,anchor,labeled_or_anchor,115,115,115,3.426246,3.450352,5.070205
demo_58,anchor,labeled_or_anchor,88,88,88,2.425783,2.827496,3.842238
demo_59,anchor,labeled_or_anchor,91,91,91,2.748728,3.268246,4.422917
demo_60,extra_masked,bad,129,0,0,,,
demo_61,anchor,labeled_or_anchor,130,130,130,3.680642,3.449890,5.260428
demo_62,extra_masked,bad,80,0,0,,,
demo_63,anchor,labeled_or_anchor,98,98,98,4.013968,3.461077,5.396043
demo_65,anchor,labeled_or_anchor,138,138,138,4.188501,3.608976,5.732403
demo_66,extra_masked,bad,109,0,0,,,
demo_67,extra_masked,positive,144,43,43,6.716669,5.073416,8.519492
demo_68,extra_masked,bad,99,0,0,,,
demo_69,anchor,labeled_or_anchor,118,118,118,3.476243,3.494646,5.089959
demo_70,anchor,labeled_or_anchor,71,71,71,3.483870,2.762920,4.532794
demo_71,anchor,labeled_or_anchor,91,91,91,4.361346,3.662413,5.807855
demo_74,extra_masked,bad,101,0,0,,,
demo_75,anchor,labeled_or_anchor,145,145,145,4.241959,3.828134,5.879930
demo_78,extra_masked,bad,80,0,0,,,
demo_82,extra_masked,bad,82,0,0,,,
demo_84,extra_masked,bad,83,0,0,,,
demo_86,extra_masked,bad,73,0,0,,,
demo_87,anchor,labeled_or_anchor,91,91,91,3.206718,3.673895,4.993121
demo_90,extra_masked,bad,74,0,0,,,
demo_91,anchor,labeled_or_anchor,89,89,89,4.707907,3.736398,6.124515
demo_92,extra_masked,bad,66,0,0,,,
demo_93,anchor,labeled_or_anchor,90,90,90,3.590589,3.951972,5.489029
demo_95,anchor,labeled_or_anchor,105,105,105,3.048832,3.680194,4.985466
demo_96,extra_masked,bad,82,0,0,,,
demo_97,anchor,labeled_or_anchor,89,89,89,3.925513,3.595414,5.579969
demo_100,extra_masked,bad,89,0,0,,,
demo_102,extra_masked,bad,94,6,6,3.620175,2.063612,4.175627
demo_103,anchor,labeled_or_anchor,121,121,121,4.486800,3.745099,6.028384
demo_106,extra_masked,bad,68,0,0,,,
demo_107,anchor,labeled_or_anchor,86,86,86,3.280108,3.769925,5.169040
demo_108,extra_masked,bad,94,0,0,,,
demo_109,extra_masked,positive,147,56,56,6.347276,5.171031,8.380522
demo_110,extra_masked,bad,80,0,0,,,
demo_112,extra_masked,bad,93,0,0,,,
demo_114,extra_masked,bad,110,0,0,,,
demo_115,anchor,labeled_or_anchor,127,127,127,4.269242,3.311259,5.536348
demo_116,extra_masked,bad,103,0,0,,,
demo_117,anchor,labeled_or_anchor,129,129,129,4.101043,4.062244,5.955417
demo_118,extra_masked,bad,80,3,3,3.410739,3.109536,4.633569
demo_119,anchor,labeled_or_anchor,91,91,91,4.634869,3.984751,6.268723
demo_120,extra_masked,bad,100,0,0,,,
demo_121,anchor,labeled_or_anchor,110,110,110,3.351719,2.945508,4.566212
demo_122,extra_masked,bad,84,0,0,,,
demo_124,extra_masked,bad,75,0,0,,,
demo_126,extra_masked,bad,88,0,0,,,
demo_128,extra_masked,bad,89,0,0,,,
demo_130,extra_masked,bad,85,0,0,,,
demo_131,anchor,labeled_or_anchor,95,95,95,3.566422,3.891943,5.519328
demo_132,extra_masked,bad,60,9,9,3.522043,3.696962,5.339575
demo_133,anchor,labeled_or_anchor,94,94,94,4.731210,3.775299,6.202929
demo_134,extra_masked,bad,69,0,0,,,
demo_136,extra_masked,bad,61,0,0,,,
demo_138,anchor,labeled_or_anchor,55,55,55,2.497281,3.179543,4.112148
demo_139,anchor,labeled_or_anchor,82,82,82,3.909039,4.078399,5.844263
demo_140,extra_masked,bad,103,0,0,,,
demo_141,anchor,labeled_or_anchor,126,126,126,4.561016,4.103371,6.383412
demo_142,extra_masked,bad,76,0,0,,,
demo_144,extra_masked,bad,81,0,0,,,
demo_145,anchor,labeled_or_anchor,88,88,88,3.017587,3.420523,4.802849
demo_146,extra_masked,bad,90,0,0,,,
demo_148,extra_masked,bad,67,0,0,,,
demo_150,extra_masked,bad,79,0,0,,,
demo_152,extra_masked,bad,89,0,0,,,
demo_154,extra_masked,bad,93,0,0,,,
demo_155,anchor,labeled_or_anchor,103,103,103,4.399196,4.321297,6.448353
demo_158,extra_masked,bad,73,0,0,,,
demo_160,extra_masked,bad,73,0,0,,,
demo_161,anchor,labeled_or_anchor,91,91,91,4.455164,4.194718,6.312210
demo_162,extra_masked,bad,92,0,0,,,
demo_163,anchor,labeled_or_anchor,115,115,115,4.046848,4.118096,6.013258
demo_164,extra_masked,bad,67,0,0,,,
demo_166,extra_masked,bad,90,0,0,,,
