rank,demo_id,hidden_label,score
1,demo_0,bad,0.3224230706691742
2,demo_2,bad,0.335053026676178
3,demo_6,bad,0.3503415882587433
4,demo_8,bad,0.2244536280632019
5,demo_9,positive,0.6437429189682007
6,demo_11,positive,0.40398481488227844
7,demo_12,bad,0.25145718455314636
8,demo_14,bad,0.29874709248542786
9,demo_15,positive,0.5214348435401917
10,demo_16,bad,0.04918505251407623
11,demo_17,positive,0.434835821390152
12,demo_18,bad,0.38769155740737915
13,demo_19,positive,0.7336908578872681
14,demo_20,bad,0.1837349385023117
15,demo_22,bad,0.4924994111061096
16,demo_24,bad,0.01611950621008873
17,demo_25,positive,0.45009079575538635
18,demo_26,bad,0.043689072132110596
19,demo_27,positive,0.47805291414260864
20,demo_30,bad,0.13490137457847595
21,demo_32,bad,0.569858968257904
22,demo_33,positive,0.662688136100769
23,demo_41,positive,0.38957157731056213
24,demo_42,bad,0.5721720457077026
25,demo_43,positive,0.8505579829216003
26,demo_46,bad,0.23333394527435303
27,demo_47,positive,0.6562324166297913
28,demo_48,bad,0.3246290683746338
29,demo_50,bad,0.003062866162508726
30,demo_54,bad,0.7729929685592651
31,demo_56,bad,0.19061334431171417
32,demo_57,positive,0.5526889562606812
33,demo_58,bad,0.3008754849433899
34,demo_59,positive,0.6709485650062561
35,demo_61,positive,0.432381808757782
36,demo_62,bad,0.305911660194397
37,demo_63,positive,0.8657516241073608
38,demo_64,bad,0.268411785364151
39,demo_66,bad,0.3582318425178528
40,demo_69,positive,0.5877899527549744
41,demo_70,bad,0.3670204281806946
42,demo_72,bad,0.3040173649787903
43,demo_73,positive,0.9168710112571716
44,demo_74,bad,0.20227758586406708
45,demo_75,positive,0.6196767091751099
46,demo_76,bad,0.045491259545087814
47,demo_78,bad,0.38970017433166504
48,demo_79,positive,0.7287811636924744
49,demo_82,bad,0.4859170615673065
50,demo_84,bad,0.19709806144237518
51,demo_86,bad,0.7276443839073181
52,demo_92,bad,0.8028132915496826
53,demo_94,bad,0.3650148808956146
54,demo_95,positive,0.7978427410125732
55,demo_96,bad,0.35056638717651367
56,demo_97,positive,0.7609800100326538
57,demo_100,bad,0.037218429148197174
58,demo_101,positive,0.5068551301956177
59,demo_106,bad,0.7733365297317505
60,demo_107,positive,0.9222106337547302
61,demo_110,bad,0.4644037187099457
62,demo_111,positive,0.8470133543014526
63,demo_112,bad,0.12233973294496536
64,demo_114,bad,0.10094588994979858
65,demo_115,positive,0.6812406778335571
66,demo_116,bad,0.0546838715672493
67,demo_117,positive,0.6604275703430176
68,demo_118,bad,0.7009121775627136
69,demo_120,bad,0.026871956884860992
70,demo_122,bad,0.32478058338165283
71,demo_123,positive,0.7869656085968018
72,demo_124,bad,0.7450641393661499
73,demo_126,bad,0.21312174201011658
74,demo_128,bad,0.031667061150074005
75,demo_130,bad,0.2569756805896759
76,demo_132,bad,0.47223806381225586
77,demo_133,positive,0.8169615864753723
78,demo_134,bad,0.4122036397457123
79,demo_136,bad,0.5226544737815857
80,demo_138,bad,0.5732577443122864
81,demo_139,positive,0.903444230556488
82,demo_140,bad,0.02155189774930477
83,demo_142,bad,0.39638015627861023
84,demo_146,bad,0.21375931799411774
85,demo_148,bad,0.2395491749048233
86,demo_150,bad,0.26653677225112915
87,demo_151,positive,0.7568380236625671
88,demo_152,bad,0.4466126561164856
89,demo_154,bad,0.37870797514915466
90,demo_156,bad,0.6872578859329224
91,demo_158,bad,0.5404666066169739
92,demo_160,bad,0.7215774059295654
93,demo_162,bad,0.03096058778464794
94,demo_163,positive,0.523995578289032
95,demo_164,bad,0.49840477108955383
96,demo_166,bad,0.2910865843296051
97,demo_167,positive,0.8454725742340088
98,demo_168,bad,0.10536467283964157
99,demo_170,bad,0.37951117753982544
100,demo_171,positive,0.765922486782074
101,demo_172,bad,0.4983246922492981
102,demo_174,bad,0.41508352756500244
103,demo_176,bad,0.7127724289894104
104,demo_177,positive,0.9826232194900513
105,demo_178,bad,0.2951199412345886
106,demo_179,positive,0.6591328978538513
107,demo_180,bad,0.43399643898010254
108,demo_182,bad,0.9112818837165833
109,demo_184,bad,0.5522618889808655
110,demo_185,positive,0.8447908163070679
111,demo_186,bad,0.6022273898124695
112,demo_190,bad,0.5128881335258484
113,demo_191,positive,0.8227060437202454
114,demo_192,bad,0.19574452936649323
115,demo_193,positive,0.8421913385391235
116,demo_194,bad,0.3090803921222687
117,demo_195,positive,0.8182141184806824
118,demo_196,bad,0.12066533416509628
119,demo_198,bad,0.7000947594642639
120,demo_199,positive,0.9485719799995422
