demo_id,role,hidden_label,classifier_score,transition_count,selected_transition_count,selected_fraction,margin_mean,margin_p25,margin_p50,margin_p75
demo_0,extra_masked,bad,0.705154,122,0,0.000000,0.579413,0.219628,0.768645,0.925289
demo_3,anchor,labeled_or_anchor,0.527193,115,115,1.000000,,,,
demo_6,extra_masked,bad,0.325944,114,0,0.000000,-0.383432,-1.371734,0.359246,0.438768
demo_8,extra_masked,bad,0.274531,100,0,0.000000,-0.554722,-0.888306,-0.744092,-0.394151
demo_10,extra_masked,bad,0.119127,130,0,0.000000,-0.729040,-0.936281,-0.470478,0.036369
demo_11,anchor,labeled_or_anchor,0.531955,141,141,1.000000,,,,
demo_12,extra_masked,bad,0.220717,104,0,0.000000,-0.454009,-0.693080,-0.181886,-0.006144
demo_13,anchor,labeled_or_anchor,0.538863,121,121,1.000000,,,,
demo_14,extra_masked,bad,0.082103,100,0,0.000000,-0.670950,-1.352824,-0.260429,-0.011071
demo_15,anchor,labeled_or_anchor,0.410528,121,121,1.000000,,,,
demo_16,extra_masked,bad,0.269506,101,0,0.000000,-1.062135,-1.609566,-0.509797,-0.299708
demo_17,anchor,labeled_or_anchor,0.817759,121,121,1.000000,,,,
demo_18,extra_masked,bad,0.143734,84,0,0.000000,-1.742123,-3.180465,-0.761870,-0.417571
demo_20,extra_masked,bad,0.358876,100,0,0.000000,-1.324261,-2.261852,-0.920371,0.012123
demo_22,extra_masked,bad,0.463419,97,0,0.000000,-0.762619,-1.466604,-0.002637,0.326502
demo_24,extra_masked,bad,0.189497,107,0,0.000000,-0.499525,-0.739254,0.124370,0.640845
demo_25,anchor,labeled_or_anchor,0.653920,129,129,1.000000,,,,
demo_26,extra_masked,bad,0.827859,103,0,0.000000,0.239807,0.322773,0.484191,0.607686
demo_27,anchor,labeled_or_anchor,1.000000,130,130,1.000000,,,,
demo_30,extra_masked,bad,0.647096,100,0,0.000000,-0.700874,-1.502011,-0.033684,0.255870
demo_32,extra_masked,bad,0.395708,98,0,0.000000,-0.486575,-1.464937,0.257017,0.393075
demo_33,anchor,labeled_or_anchor,0.951281,107,107,1.000000,,,,
demo_34,extra_masked,bad,0.601021,122,8,0.065574,0.339343,-0.658181,0.871251,1.310454
demo_36,extra_masked,bad,0.579078,120,0,0.000000,0.101270,-0.591469,0.757203,0.987936
demo_37,anchor,labeled_or_anchor,0.961025,98,98,1.000000,,,,
demo_40,extra_masked,bad,0.468876,102,10,0.098039,0.385626,-0.260116,0.713835,1.112127
demo_41,anchor,labeled_or_anchor,0.900779,117,117,1.000000,,,,
demo_42,extra_masked,bad,0.018019,103,0,0.000000,-1.735780,-1.765021,-1.409509,-1.242307
demo_46,extra_masked,bad,0.076505,122,0,0.000000,-1.334947,-1.536668,-0.869516,-0.535074
demo_47,anchor,labeled_or_anchor,0.464851,118,118,1.000000,,,,
demo_48,extra_masked,bad,0.974873,117,0,0.000000,0.187514,0.172783,0.452252,0.651268
demo_49,anchor,labeled_or_anchor,0.988129,136,136,1.000000,,,,
demo_50,extra_masked,bad,0.412123,112,0,0.000000,-0.023716,-0.599810,0.534839,0.688979
demo_51,anchor,labeled_or_anchor,0.952082,130,130,1.000000,,,,
demo_54,extra_masked,bad,0.709176,95,0,0.000000,-0.047876,-0.925557,0.708467,0.843310
demo_55,anchor,labeled_or_anchor,0.945665,108,108,1.000000,,,,
demo_58,anchor,labeled_or_anchor,0.531677,88,88,1.000000,,,,
demo_60,extra_masked,bad,0.396199,129,2,0.015504,-0.183814,-0.789558,-0.043425,0.711465
demo_61,anchor,labeled_or_anchor,1.000000,130,130,1.000000,,,,
demo_62,extra_masked,bad,0.086222,80,0,0.000000,-1.781510,-3.294046,-0.928654,-0.510084
demo_64,extra_masked,bad,0.747031,95,0,0.000000,0.431722,0.267548,0.633503,0.900332
demo_66,extra_masked,bad,0.962433,109,0,0.000000,0.168563,0.094885,0.487134,0.653975
demo_68,extra_masked,bad,0.487954,99,0,0.000000,-0.271477,-0.440934,0.007862,0.239432
demo_70,extra_masked,bad,0.015407,71,0,0.000000,-1.937471,-3.156062,-1.312557,-1.151667
demo_72,extra_masked,bad,0.341831,89,1,0.011236,0.320056,0.163111,0.345565,0.768107
demo_73,anchor,labeled_or_anchor,1.000000,129,129,1.000000,,,,
demo_74,extra_masked,bad,0.881927,101,1,0.009901,0.679710,0.195157,0.855594,1.251048
demo_75,anchor,labeled_or_anchor,1.000000,145,145,1.000000,,,,
demo_76,extra_masked,bad,0.709172,101,0,0.000000,0.031495,-0.422196,0.259773,1.222063
demo_78,extra_masked,bad,0.642192,80,0,0.000000,0.006225,-1.276097,0.809799,1.040612
demo_79,anchor,labeled_or_anchor,0.928030,92,92,1.000000,,,,
demo_84,extra_masked,bad,0.317205,83,0,0.000000,-1.709974,-2.579267,-1.051161,-0.867132
demo_85,anchor,labeled_or_anchor,0.764243,123,123,1.000000,,,,
demo_86,extra_masked,bad,0.517778,73,0,0.000000,-0.382825,-1.472477,0.248784,0.659294
demo_90,extra_masked,bad,0.139049,74,0,0.000000,-1.905915,-2.786531,-1.414420,-0.954505
demo_91,anchor,labeled_or_anchor,0.442322,89,89,1.000000,,,,
demo_92,extra_masked,bad,0.523623,66,0,0.000000,-0.896923,-1.992355,-0.160886,0.047466
demo_93,anchor,labeled_or_anchor,0.838188,90,90,1.000000,,,,
demo_94,extra_masked,bad,0.770436,86,0,0.000000,0.163389,-1.035115,0.905885,1.298230
demo_96,extra_masked,bad,0.711471,82,0,0.000000,-0.229279,-1.740193,0.850978,1.095397
demo_97,anchor,labeled_or_anchor,1.000000,89,89,1.000000,,,,
demo_100,extra_masked,bad,0.506872,89,0,0.000000,-0.607797,-1.275914,0.046506,0.266242
demo_106,extra_masked,bad,0.822370,68,0,0.000000,0.035927,-0.957547,0.846648,1.029453
demo_107,anchor,labeled_or_anchor,0.941843,86,86,1.000000,,,,
demo_108,extra_masked,bad,0.732303,94,0,0.000000,-0.842832,-1.059178,-0.917185,-0.457375
demo_110,extra_masked,bad,0.019893,80,0,0.000000,-1.988530,-3.299565,-1.112315,-0.910704
demo_112,extra_masked,bad,0.880451,93,1,0.010753,0.207349,-0.034455,0.255073,0.534091
demo_114,extra_masked,bad,0.121405,110,0,0.000000,-0.251808,-0.648020,-0.305367,0.288060
demo_115,anchor,labeled_or_anchor,0.741698,127,127,1.000000,,,,
demo_116,extra_masked,bad,0.940661,103,0,0.000000,0.084913,0.009394,0.258969,0.383306
demo_117,anchor,labeled_or_anchor,0.966436,129,129,1.000000,,,,
demo_118,extra_masked,bad,0.065815,80,0,0.000000,-0.852801,-1.650033,-0.235530,0.036489
demo_119,anchor,labeled_or_anchor,0.583069,91,91,1.000000,,,,
demo_120,extra_masked,bad,0.097887,100,0,0.000000,-1.458569,-2.073348,-0.792747,-0.676009
demo_121,anchor,labeled_or_anchor,0.519328,110,110,1.000000,,,,
demo_123,anchor,labeled_or_anchor,0.714942,119,119,1.000000,,,,
demo_124,extra_masked,bad,0.633587,75,0,0.000000,-0.363336,-1.516588,0.672611,0.784546
demo_125,anchor,labeled_or_anchor,0.919418,88,88,1.000000,,,,
demo_126,extra_masked,bad,0.630738,88,16,0.181818,0.546772,-0.282301,1.204558,1.404046
demo_127,anchor,labeled_or_anchor,1.000000,95,95,1.000000,,,,
demo_128,extra_masked,bad,0.632151,89,14,0.157303,0.327792,-0.815296,1.149848,1.591540
demo_129,anchor,labeled_or_anchor,1.000000,104,104,1.000000,,,,
demo_130,extra_masked,bad,0.460488,85,0,0.000000,-0.943793,-1.360799,-0.541434,-0.214051
demo_131,anchor,labeled_or_anchor,0.826121,95,95,1.000000,,,,
demo_134,extra_masked,bad,0.164852,69,0,0.000000,-0.591932,-2.140990,0.320580,0.521623
demo_135,anchor,labeled_or_anchor,1.000000,95,95,1.000000,,,,
demo_137,anchor,labeled_or_anchor,0.473423,96,96,1.000000,,,,
demo_138,extra_masked,bad,0.288168,55,0,0.000000,-0.473160,-1.797622,-0.273855,0.765139
demo_139,anchor,labeled_or_anchor,0.679282,82,82,1.000000,,,,
demo_142,extra_masked,bad,0.016340,76,0,0.000000,-2.097207,-3.070583,-1.461104,-1.317518
demo_143,anchor,labeled_or_anchor,0.526415,93,93,1.000000,,,,
demo_144,extra_masked,bad,0.634664,81,0,0.000000,-0.146724,-1.112581,0.743165,1.036476
