demo_id,role,hidden_label,transition_count,loss_weight_mean,sample_weight_mean,preference_label
demo_33,labeled_positive_preference,positive,107,1.0,1.0,1
demo_3,labeled_positive_preference,positive,115,1.0,1.0,1
demo_173,labeled_positive_preference,positive,95,1.0,1.0,1
demo_181,labeled_positive_preference,positive,127,1.0,1.0,1
demo_23,labeled_positive_preference,positive,103,1.0,1.0,1
demo_163,labeled_positive_preference,positive,115,1.0,1.0,1
demo_13,labeled_positive_preference,positive,121,1.0,1.0,1
demo_113,labeled_positive_preference,positive,137,1.0,1.0,1
demo_197,labeled_positive_preference,positive,103,1.0,1.0,1
demo_111,labeled_positive_preference,positive,95,1.0,1.0,1
demo_69,positive_nn_bc_support,positive,118,1.0,1.0,0
demo_59,positive_nn_bc_support,positive,91,1.0,1.0,0
demo_195,positive_nn_bc_support,positive,100,1.0,1.0,0
demo_123,positive_nn_bc_support,positive,119,1.0,1.0,0
demo_141,positive_nn_bc_support,positive,126,1.0,1.0,0
demo_63,positive_nn_bc_support,positive,98,1.0,1.0,0
demo_9,positive_nn_bc_support,positive,130,1.0,1.0,0
demo_25,positive_nn_bc_support,positive,129,1.0,1.0,0
demo_177,positive_nn_bc_support,positive,99,1.0,1.0,0
demo_17,positive_nn_bc_support,positive,121,1.0,1.0,0
demo_91,positive_nn_bc_support,positive,89,1.0,1.0,0
demo_151,positive_nn_bc_support,positive,119,1.0,1.0,0
demo_61,positive_nn_bc_support,positive,130,1.0,1.0,0
demo_87,positive_nn_bc_support,positive,91,1.0,1.0,0
demo_79,positive_nn_bc_support,positive,92,1.0,1.0,0
demo_139,positive_nn_bc_support,positive,82,1.0,1.0,0
demo_107,positive_nn_bc_support,positive,86,1.0,1.0,0
demo_187,positive_nn_bc_support,positive,109,1.0,1.0,0
demo_159,positive_nn_bc_support,positive,92,1.0,1.0,0
demo_167,positive_nn_bc_support,positive,114,1.0,1.0,0
demo_101,positive_nn_bc_support,positive,98,1.0,1.0,0
demo_35,positive_nn_bc_support,positive,112,1.0,1.0,0
demo_85,positive_nn_bc_support,positive,123,1.0,1.0,0
demo_155,positive_nn_bc_support,positive,103,1.0,1.0,0
demo_127,positive_nn_bc_support,positive,95,1.0,1.0,0
demo_73,positive_nn_bc_support,positive,129,1.0,1.0,0
demo_175,positive_nn_bc_support,positive,130,1.0,1.0,0
demo_183,positive_nn_bc_support,positive,86,1.0,1.0,0
demo_70,positive_nn_bc_support,bad,71,1.0,1.0,0
demo_142,positive_nn_bc_support,bad,76,1.0,1.0,0
demo_65,positive_nn_bc_support,positive,138,1.0,1.0,0
demo_121,positive_nn_bc_support,positive,110,1.0,1.0,0
demo_31,positive_nn_bc_support,positive,145,1.0,1.0,0
demo_95,positive_nn_bc_support,positive,105,1.0,1.0,0
demo_149,positive_nn_bc_support,positive,118,1.0,1.0,0
demo_184,positive_nn_bc_support,bad,58,1.0,1.0,0
demo_110,positive_nn_bc_support,bad,80,1.0,1.0,0
demo_2,positive_nn_bc_support,bad,94,1.0,1.0,0
demo_147,positive_nn_bc_support,positive,91,1.0,1.0,0
demo_161,positive_nn_bc_support,positive,91,1.0,1.0,0
demo_194,labeled_negative_preference,bad,82,0.0,1.0,-1
demo_156,labeled_negative_preference,bad,63,0.0,1.0,-1
demo_108,labeled_negative_preference,bad,94,0.0,1.0,-1
demo_12,labeled_negative_preference,bad,104,0.0,1.0,-1
demo_128,labeled_negative_preference,bad,89,0.0,1.0,-1
demo_76,labeled_negative_preference,bad,101,0.0,1.0,-1
demo_168,labeled_negative_preference,bad,81,0.0,1.0,-1
demo_122,labeled_negative_preference,bad,84,0.0,1.0,-1
demo_196,labeled_negative_preference,bad,83,0.0,1.0,-1
demo_164,labeled_negative_preference,bad,67,0.0,1.0,-1
