demo_id,role,hidden_label,classifier_score,transition_count,selected_transition_count,selected_fraction,margin_mean,margin_p25,margin_p50,margin_p75
demo_0,extra_masked,bad,0.553278,122,0,0.000000,-0.298880,-2.206561,0.752153,1.029825
demo_2,anchor,labeled_or_anchor,0.488148,94,94,1.000000,,,,
demo_10,extra_masked,bad,0.244813,130,0,0.000000,-0.796121,-1.234039,-0.584049,-0.202254
demo_12,extra_masked,bad,0.208301,104,0,0.000000,-1.623844,-3.258077,-0.689806,-0.197253
demo_13,anchor,labeled_or_anchor,0.760034,121,121,1.000000,,,,
demo_14,extra_masked,bad,0.149662,100,0,0.000000,-0.754627,-1.355895,-0.082954,0.317788
demo_15,anchor,labeled_or_anchor,1.000000,121,121,1.000000,,,,
demo_16,extra_masked,bad,0.220400,101,0,0.000000,-0.645619,-0.429929,0.487819,0.955084
demo_17,anchor,labeled_or_anchor,0.719346,121,121,1.000000,,,,
demo_18,extra_masked,bad,0.795160,84,3,0.035714,0.089583,-1.348191,0.809617,1.135197
demo_19,anchor,labeled_or_anchor,0.985605,103,103,1.000000,,,,
demo_20,extra_masked,bad,0.361364,100,3,0.030000,-0.312129,-1.371137,0.602324,0.979681
demo_21,anchor,labeled_or_anchor,1.000000,100,100,1.000000,,,,
demo_22,extra_masked,bad,0.279108,97,0,0.000000,-0.987376,-1.834629,-0.580764,-0.088634
demo_24,extra_masked,bad,0.040911,107,0,0.000000,-0.918916,-1.282538,-0.366327,0.230105
demo_25,anchor,labeled_or_anchor,0.602465,129,129,1.000000,,,,
demo_26,extra_masked,bad,0.052559,103,0,0.000000,-1.101510,-3.386432,0.128433,0.526918
demo_27,anchor,labeled_or_anchor,0.460117,130,130,1.000000,,,,
demo_30,extra_masked,bad,0.007683,100,0,0.000000,-1.006399,-1.228979,-0.805679,-0.651141
demo_31,extra_masked,positive,0.420360,145,60,0.413793,1.335138,-1.033040,-0.268462,4.053288
demo_32,extra_masked,bad,0.128806,98,0,0.000000,-1.424760,-2.046639,-0.880550,-0.491532
demo_36,extra_masked,bad,0.180880,120,0,0.000000,-1.346855,-1.454922,-1.146254,-0.572200
demo_37,anchor,labeled_or_anchor,0.803411,98,98,1.000000,,,,
demo_40,extra_masked,bad,0.350704,102,0,0.000000,-0.470841,-1.110122,0.345773,0.755808
demo_41,anchor,labeled_or_anchor,1.000000,117,117,1.000000,,,,
demo_42,extra_masked,bad,0.339888,103,0,0.000000,-0.999378,-1.460296,-0.347689,-0.117892
demo_43,anchor,labeled_or_anchor,0.837682,107,107,1.000000,,,,
demo_48,extra_masked,bad,0.012846,117,0,0.000000,-1.328663,-2.232128,-0.594652,-0.504092
demo_49,extra_masked,positive,0.466933,136,52,0.382353,1.683210,-0.675277,-0.158890,4.643353
demo_50,extra_masked,bad,0.208267,112,0,0.000000,-0.307846,-0.678413,-0.011235,0.317213
