demo_id,role,hidden_label,transition_count,bc_selected_mass,negative_loss_mass,selected_negative_obs_distance_mean,selected_negative_action_distance_mean,selected_negative_state_action_distance_mean
demo_0,extra_masked,bad,122,0,0,,,
demo_1,anchor,labeled_or_anchor,122,122,122,2.747216,3.209281,4.302094
demo_2,extra_masked,bad,94,0,0,,,
demo_3,anchor,labeled_or_anchor,115,115,115,2.897910,3.560769,4.780900
demo_6,extra_masked,bad,114,0,0,,,
demo_7,anchor,labeled_or_anchor,124,124,124,3.766950,3.676538,5.386352
demo_8,extra_masked,bad,100,0,0,,,
demo_10,extra_masked,bad,130,0,0,,,
demo_12,extra_masked,bad,104,0,0,,,
demo_13,anchor,labeled_or_anchor,121,121,121,3.614392,3.656845,5.303463
demo_14,extra_masked,bad,100,0,0,,,
demo_15,extra_masked,positive,121,34,34,7.350592,4.505756,8.712418
demo_16,extra_masked,bad,101,0,0,,,
demo_18,extra_masked,bad,84,0,0,,,
demo_20,extra_masked,bad,100,0,0,,,
demo_21,anchor,labeled_or_anchor,100,100,100,3.240310,3.503313,4.959256
demo_22,extra_masked,bad,97,0,0,,,
demo_23,anchor,labeled_or_anchor,103,103,103,3.830898,3.709082,5.459792
demo_24,extra_masked,bad,107,0,0,,,
demo_25,anchor,labeled_or_anchor,129,129,129,4.756374,3.531263,6.017016
demo_26,extra_masked,bad,103,0,0,,,
demo_32,extra_masked,bad,98,0,0,,,
demo_33,anchor,labeled_or_anchor,107,107,107,3.612127,3.507179,5.224957
demo_34,extra_masked,bad,122,0,0,,,
demo_36,extra_masked,bad,120,0,0,,,
demo_37,anchor,labeled_or_anchor,98,98,98,3.427639,3.457598,5.094169
demo_40,extra_masked,bad,102,0,0,,,
demo_42,extra_masked,bad,103,0,0,,,
demo_46,extra_masked,bad,122,0,0,,,
demo_48,extra_masked,bad,117,0,0,,,
demo_50,extra_masked,bad,112,0,0,,,
demo_51,extra_masked,positive,130,51,51,7.604394,4.771368,9.257465
demo_55,anchor,labeled_or_anchor,108,108,108,2.430619,3.384999,4.299849
demo_56,extra_masked,bad,99,0,0,,,
demo_57,anchor,labeled_or_anchor,115,115,115,3.339970,3.293127,4.841300
demo_58,extra_masked,bad,88,0,0,,,
demo_60,extra_masked,bad,129,0,0,,,
demo_61,anchor,labeled_or_anchor,130,130,130,3.765864,3.440483,5.254540
demo_62,extra_masked,bad,80,0,0,,,
demo_64,extra_masked,bad,95,0,0,,,
demo_65,anchor,labeled_or_anchor,138,138,138,4.217717,3.445489,5.599809
demo_66,extra_masked,bad,109,0,0,,,
demo_68,extra_masked,bad,99,0,0,,,
demo_70,anchor,labeled_or_anchor,71,71,71,2.185502,3.445186,4.118838
demo_71,anchor,labeled_or_anchor,91,91,91,3.686843,4.108040,5.655576
demo_72,extra_masked,bad,89,0,0,,,
demo_73,anchor,labeled_or_anchor,129,129,129,4.894463,3.797465,6.309503
demo_74,extra_masked,bad,101,0,0,,,
demo_76,extra_masked,bad,101,0,0,,,
demo_77,anchor,labeled_or_anchor,107,107,107,3.284342,3.381781,4.806572
demo_78,extra_masked,bad,80,0,0,,,
demo_82,extra_masked,bad,82,0,0,,,
demo_83,anchor,labeled_or_anchor,109,109,109,4.312669,3.605697,5.708930
demo_84,extra_masked,bad,83,0,0,,,
demo_85,anchor,labeled_or_anchor,123,123,123,3.847576,3.634860,5.537715
