seed,rank,demo_id,demo_index,score,hidden_label
0,1,demo_1278,1278,0.992784321308136,positive
0,2,demo_1414,1414,0.9924848675727844,positive
0,3,demo_1398,1398,0.9924516677856445,positive
0,4,demo_1402,1402,0.9917938113212585,positive
0,5,demo_1251,1251,0.9917910695075989,positive
0,6,demo_1326,1326,0.9916597604751587,positive
0,7,demo_1255,1255,0.991642951965332,positive
0,8,demo_1429,1429,0.9913929104804993,positive
0,9,demo_1217,1217,0.9912476539611816,positive
0,10,demo_1298,1298,0.9908978343009949,positive
0,11,demo_1381,1381,0.9906036257743835,bad
0,12,demo_1483,1483,0.9904201030731201,positive
0,13,demo_1462,1462,0.99041348695755,positive
0,14,demo_1484,1484,0.9902616143226624,bad
0,15,demo_1376,1376,0.9902266263961792,positive
0,16,demo_1216,1216,0.9901856780052185,positive
0,17,demo_1353,1353,0.989936113357544,positive
0,18,demo_1305,1305,0.9898742437362671,positive
0,19,demo_1271,1271,0.9897728562355042,positive
0,20,demo_1345,1345,0.9897525906562805,bad
0,21,demo_1424,1424,0.9897078275680542,positive
0,22,demo_1205,1205,0.9895868897438049,positive
0,23,demo_1261,1261,0.9891377687454224,positive
0,24,demo_1315,1315,0.989065945148468,positive
0,25,demo_1367,1367,0.9890433549880981,positive
0,26,demo_1296,1296,0.9889807105064392,positive
0,27,demo_1490,1490,0.9885522723197937,positive
0,28,demo_1408,1408,0.9882017970085144,positive
0,29,demo_1328,1328,0.9880390167236328,positive
0,30,demo_1421,1421,0.9878180027008057,positive
0,31,demo_1400,1400,0.9876981377601624,positive
0,32,demo_1472,1472,0.9876822829246521,positive
0,33,demo_1436,1436,0.9875301122665405,positive
0,34,demo_1395,1395,0.9875239133834839,positive
0,35,demo_1348,1348,0.9874002933502197,positive
0,36,demo_1463,1463,0.9872854351997375,positive
0,37,demo_1249,1249,0.9872210621833801,positive
0,38,demo_1375,1375,0.9871850609779358,positive
0,39,demo_1425,1425,0.9869657158851624,positive
0,40,demo_1386,1386,0.9868516325950623,positive
0,41,demo_1347,1347,0.9862262010574341,positive
0,42,demo_1310,1310,0.9861649870872498,positive
0,43,demo_1481,1481,0.9861088991165161,positive
0,44,demo_1479,1479,0.9859181642532349,positive
0,45,demo_1448,1448,0.9856927394866943,positive
0,46,demo_1242,1242,0.9856624603271484,positive
0,47,demo_1439,1439,0.9853118062019348,positive
0,48,demo_1281,1281,0.9852542877197266,positive
0,49,demo_1458,1458,0.9852451682090759,positive
0,50,demo_1449,1449,0.9852020144462585,positive
0,51,demo_1342,1342,0.9850780367851257,positive
0,52,demo_1455,1455,0.984967052936554,positive
0,53,demo_1280,1280,0.9849664568901062,positive
0,54,demo_1207,1207,0.9849594235420227,positive
0,55,demo_1350,1350,0.9849192500114441,positive
0,56,demo_1431,1431,0.9848700165748596,positive
0,57,demo_1229,1229,0.9846620559692383,positive
0,58,demo_1245,1245,0.9844844341278076,positive
0,59,demo_1489,1489,0.9844553470611572,positive
0,60,demo_1346,1346,0.9844069480895996,positive
0,61,demo_1460,1460,0.9843430519104004,positive
0,62,demo_1389,1389,0.9840061664581299,positive
0,63,demo_1454,1454,0.9840039014816284,positive
0,64,demo_1478,1478,0.9839412569999695,positive
0,65,demo_1366,1366,0.9837800860404968,bad
0,66,demo_1334,1334,0.983585000038147,positive
0,67,demo_1283,1283,0.9834975004196167,positive
