demo_id,role,hidden_label,transition_count,bc_selected_mass,negative_loss_mass,selected_negative_obs_distance_mean,selected_negative_action_distance_mean,selected_negative_state_action_distance_mean
demo_0,extra_masked,bad,122,0,0,,,
demo_2,extra_masked,bad,94,0,0,,,
demo_6,extra_masked,bad,114,0,0,,,
demo_7,anchor,labeled_or_anchor,124,124,124,3.888901,3.594886,5.451856
demo_8,extra_masked,bad,100,0,0,,,
demo_10,extra_masked,bad,130,0,0,,,
demo_11,anchor,labeled_or_anchor,141,141,141,4.020410,3.449021,5.440546
demo_12,extra_masked,bad,104,0,0,,,
demo_14,extra_masked,bad,100,0,0,,,
demo_17,extra_masked,positive,121,39,39,6.524678,4.194010,7.817132
demo_18,extra_masked,bad,84,0,0,,,
demo_19,anchor,labeled_or_anchor,103,103,103,3.237312,3.449115,4.826942
demo_20,extra_masked,bad,100,0,0,,,
demo_21,anchor,labeled_or_anchor,100,100,100,3.296341,3.383300,4.859479
demo_22,extra_masked,bad,97,0,0,,,
demo_23,anchor,labeled_or_anchor,103,103,103,3.721217,3.750155,5.415905
demo_24,extra_masked,bad,107,0,0,,,
demo_25,anchor,labeled_or_anchor,129,129,129,4.313741,3.540381,5.764406
demo_26,extra_masked,bad,103,0,0,,,
demo_30,extra_masked,bad,100,0,0,,,
demo_32,extra_masked,bad,98,0,0,,,
demo_33,anchor,labeled_or_anchor,107,107,107,3.811853,3.555203,5.393837
demo_36,extra_masked,bad,120,0,0,,,
demo_37,anchor,labeled_or_anchor,98,98,98,3.436986,3.421139,5.051115
demo_40,extra_masked,bad,102,0,0,,,
demo_42,extra_masked,bad,103,0,0,,,
demo_46,extra_masked,bad,122,0,0,,,
demo_47,anchor,labeled_or_anchor,118,118,118,3.060916,3.222512,4.570960
demo_48,extra_masked,bad,117,0,0,,,
demo_49,extra_masked,positive,136,59,59,5.989906,5.316839,8.349322
demo_50,extra_masked,bad,112,0,0,,,
demo_51,extra_masked,positive,130,51,51,7.443261,5.112521,9.376355
demo_54,anchor,labeled_or_anchor,95,95,95,2.260925,2.297488,3.348993
demo_55,anchor,labeled_or_anchor,108,108,108,2.938324,3.268027,4.526649
demo_56,extra_masked,bad,99,0,0,,,
demo_60,extra_masked,bad,129,0,0,,,
demo_61,anchor,labeled_or_anchor,130,130,130,3.760066,3.400821,5.229401
demo_62,extra_masked,bad,80,2,2,4.903631,3.445832,6.244695
demo_63,anchor,labeled_or_anchor,98,98,98,3.289079,3.560395,4.936622
demo_64,extra_masked,bad,95,0,0,,,
demo_65,anchor,labeled_or_anchor,138,138,138,4.442805,3.682593,5.932099
demo_66,extra_masked,bad,109,0,0,,,
demo_67,extra_masked,positive,144,51,51,6.494862,4.758152,8.155530
demo_68,extra_masked,bad,99,0,0,,,
demo_70,anchor,labeled_or_anchor,71,71,71,2.367109,2.628384,3.601187
demo_73,extra_masked,positive,129,56,56,7.173703,5.337250,9.146133
demo_74,extra_masked,bad,101,0,0,,,
demo_78,anchor,labeled_or_anchor,80,80,80,1.874566,1.962981,2.765327
demo_79,anchor,labeled_or_anchor,92,92,92,3.407667,3.469759,5.008734
demo_82,extra_masked,bad,82,0,0,,,
demo_90,extra_masked,bad,74,0,0,,,
demo_91,anchor,labeled_or_anchor,89,89,89,3.974584,3.839475,5.628749
demo_92,extra_masked,bad,66,0,0,,,
demo_94,extra_masked,bad,86,0,0,,,
demo_95,anchor,labeled_or_anchor,105,105,105,3.300972,3.449575,4.901497
demo_96,extra_masked,bad,82,0,0,,,
demo_97,anchor,labeled_or_anchor,89,89,89,4.029462,3.723270,5.750299
demo_100,extra_masked,bad,89,0,0,,,
demo_102,extra_masked,bad,94,0,0,,,
demo_103,extra_masked,positive,121,54,54,5.963099,5.309315,8.227296
demo_106,anchor,labeled_or_anchor,68,68,68,2.281539,2.315855,3.337380
demo_107,anchor,labeled_or_anchor,86,86,86,3.523453,3.510588,5.105099
demo_108,extra_masked,bad,94,0,0,,,
demo_109,extra_masked,positive,147,54,54,6.645619,5.082865,8.492471
demo_110,anchor,labeled_or_anchor,80,80,80,2.564015,2.470904,3.625334
demo_111,anchor,labeled_or_anchor,95,95,95,3.962088,3.611716,5.548175
demo_112,extra_masked,bad,93,0,0,,,
demo_114,extra_masked,bad,110,0,0,,,
demo_115,anchor,labeled_or_anchor,127,127,127,4.188312,3.461511,5.527555
demo_116,extra_masked,bad,103,0,0,,,
demo_118,extra_masked,bad,80,1,1,3.761868,2.456150,4.492697
demo_119,anchor,labeled_or_anchor,91,91,91,4.502867,3.974190,6.161567
demo_120,extra_masked,bad,100,0,0,,,
demo_122,extra_masked,bad,84,0,0,,,
demo_123,anchor,labeled_or_anchor,119,119,119,4.224410,3.595002,5.703102
demo_124,extra_masked,bad,75,0,0,,,
demo_125,anchor,labeled_or_anchor,88,88,88,3.556572,3.329688,4.997223
demo_126,extra_masked,bad,88,0,0,,,
demo_128,extra_masked,bad,89,0,0,,,
demo_129,anchor,labeled_or_anchor,104,104,104,3.222370,3.487987,4.897414
demo_130,extra_masked,bad,85,0,0,,,
demo_132,extra_masked,bad,60,0,0,,,
demo_133,anchor,labeled_or_anchor,94,94,94,3.837021,3.887663,5.613137
demo_134,extra_masked,bad,69,0,0,,,
demo_135,anchor,labeled_or_anchor,95,95,95,3.606216,3.767020,5.394650
demo_136,extra_masked,bad,61,0,0,,,
demo_139,anchor,labeled_or_anchor,82,82,82,3.230832,4.139428,5.492527
demo_140,extra_masked,bad,103,0,0,,,
demo_141,anchor,labeled_or_anchor,126,126,126,4.691514,4.277812,6.596692
demo_142,anchor,labeled_or_anchor,76,76,76,2.432836,2.592191,3.613382
demo_143,anchor,labeled_or_anchor,93,93,93,4.075467,3.740317,5.633356
demo_144,extra_masked,bad,81,0,0,,,
demo_145,anchor,labeled_or_anchor,88,88,88,3.059810,3.210372,4.593571
demo_146,extra_masked,bad,90,0,0,,,
demo_148,extra_masked,bad,67,0,0,,,
demo_150,extra_masked,bad,79,0,0,,,
demo_151,anchor,labeled_or_anchor,119,119,119,4.108346,3.406848,5.441010
demo_152,extra_masked,bad,89,0,0,,,
demo_155,anchor,labeled_or_anchor,103,103,103,4.321967,4.225271,6.313801
demo_156,extra_masked,bad,63,0,0,,,
demo_157,anchor,labeled_or_anchor,81,81,81,3.686250,3.634028,5.324401
demo_158,extra_masked,bad,73,0,0,,,
demo_159,anchor,labeled_or_anchor,92,92,92,3.607649,3.529749,5.201462
demo_160,extra_masked,bad,73,0,0,,,
demo_162,extra_masked,bad,92,0,0,,,
demo_164,extra_masked,bad,67,0,0,,,
demo_165,anchor,labeled_or_anchor,105,105,105,3.839542,3.879845,5.639251
demo_166,extra_masked,bad,90,0,0,,,
demo_168,extra_masked,bad,81,0,0,,,
demo_170,extra_masked,bad,64,0,0,,,
demo_171,anchor,labeled_or_anchor,110,110,110,3.551407,3.679806,5.285859
demo_172,extra_masked,bad,74,0,0,,,
demo_174,extra_masked,bad,82,7,7,4.169944,3.472394,5.497520
demo_175,anchor,labeled_or_anchor,130,130,130,4.103141,3.646743,5.613216
demo_176,extra_masked,bad,68,0,0,,,
