demo_id,role,hidden_label,classifier_score,transition_count,selected_transition_count,selected_fraction,margin_mean,margin_p25,margin_p50,margin_p75
demo_0,extra_masked,bad,0.409006,122,0,0.000000,-0.717143,-2.023203,0.130370,0.319159
demo_1,anchor,labeled_or_anchor,0.682031,122,122,1.000000,,,,
demo_2,extra_masked,bad,0.060819,94,0,0.000000,-1.378133,-1.999385,-0.917166,-0.747381
demo_3,anchor,labeled_or_anchor,0.635946,115,115,1.000000,,,,
demo_6,extra_masked,bad,0.365656,114,0,0.000000,-0.587792,-1.217346,0.297136,0.607671
demo_9,anchor,labeled_or_anchor,1.000000,130,130,1.000000,,,,
demo_10,extra_masked,bad,0.210616,130,0,0.000000,-0.460798,-0.758436,-0.172964,0.038045
demo_11,anchor,labeled_or_anchor,0.634149,141,141,1.000000,,,,
demo_12,extra_masked,bad,0.324689,104,0,0.000000,-1.736689,-3.494042,-0.546098,-0.249881
demo_14,extra_masked,bad,0.259974,100,0,0.000000,-0.543046,-1.179204,0.021914,0.518952
demo_15,anchor,labeled_or_anchor,0.756966,121,121,1.000000,,,,
demo_16,extra_masked,bad,0.387378,101,1,0.009901,0.566861,0.013270,1.062817,1.453353
demo_17,anchor,labeled_or_anchor,1.000000,121,121,1.000000,,,,
demo_18,extra_masked,bad,0.205577,84,0,0.000000,-1.074001,-2.798914,-0.669132,-0.152394
demo_19,anchor,labeled_or_anchor,0.516432,103,103,1.000000,,,,
demo_20,extra_masked,bad,0.406343,100,0,0.000000,-0.274069,-0.054483,0.310069,0.645665
demo_21,anchor,labeled_or_anchor,0.863749,100,100,1.000000,,,,
demo_22,extra_masked,bad,0.378007,97,0,0.000000,-0.646601,-1.527066,-0.157840,0.446462
demo_24,extra_masked,bad,0.169234,107,0,0.000000,-0.741728,-0.656959,-0.071980,0.240963
demo_25,anchor,labeled_or_anchor,0.622700,129,129,1.000000,,,,
demo_26,extra_masked,bad,0.308975,103,0,0.000000,-0.608325,-2.385748,0.577943,0.773347
demo_27,anchor,labeled_or_anchor,0.666608,130,130,1.000000,,,,
demo_30,extra_masked,bad,0.008317,100,0,0.000000,-0.794653,-1.558169,-0.101573,0.028869
demo_31,extra_masked,positive,0.452383,145,61,0.420690,2.097316,0.034253,0.658687,4.837999
demo_32,extra_masked,bad,0.324641,98,0,0.000000,-0.803163,-1.707544,-0.020424,0.035466
demo_35,anchor,labeled_or_anchor,1.000000,112,112,1.000000,,,,
demo_36,extra_masked,bad,0.423619,120,0,0.000000,-0.942670,-1.651188,-0.261256,0.023064
demo_40,extra_masked,bad,0.377245,102,0,0.000000,-0.516374,-0.654044,0.090883,0.344566
demo_46,extra_masked,bad,0.197311,122,0,0.000000,-0.881646,-1.371319,-0.389100,-0.123145
demo_48,extra_masked,bad,0.033206,117,0,0.000000,-2.508849,-3.335274,-1.837311,-1.618686
demo_50,extra_masked,bad,0.210563,112,0,0.000000,-0.287065,-0.929160,0.082219,0.561819
demo_54,extra_masked,bad,0.241588,95,0,0.000000,-0.783709,-1.337575,-0.537792,0.489539
demo_56,extra_masked,bad,0.443997,99,0,0.000000,0.353550,0.229767,0.879105,1.036116
demo_57,anchor,labeled_or_anchor,0.808535,115,115,1.000000,,,,
demo_58,extra_masked,bad,0.402117,88,0,0.000000,-0.622969,-2.017938,-0.095146,0.706039
demo_59,anchor,labeled_or_anchor,0.736963,91,91,1.000000,,,,
demo_60,extra_masked,bad,0.223129,129,0,0.000000,0.294809,-0.453618,0.292771,1.245206
demo_62,extra_masked,bad,0.382371,80,0,0.000000,-0.881886,-2.369407,-0.713866,0.652360
demo_63,anchor,labeled_or_anchor,0.499281,98,98,1.000000,,,,
demo_64,extra_masked,bad,0.023090,95,0,0.000000,-0.855913,-2.197881,0.004563,0.140452
demo_67,extra_masked,positive,0.405242,144,50,0.347222,0.999766,-1.590517,-0.546286,4.053296
demo_68,extra_masked,bad,0.422284,99,0,0.000000,-0.072654,-0.832859,0.137316,0.698891
demo_70,extra_masked,bad,0.175111,71,0,0.000000,-1.208652,-2.443097,-1.074062,-0.437209
demo_71,anchor,labeled_or_anchor,0.572757,91,91,1.000000,,,,
demo_73,anchor,labeled_or_anchor,0.551553,129,129,1.000000,,,,
demo_74,extra_masked,bad,0.041497,101,0,0.000000,-1.671627,-2.843382,-1.073696,-0.488503
demo_76,extra_masked,bad,0.434870,101,0,0.000000,-0.930802,-1.530787,-0.310172,0.047751
demo_78,anchor,labeled_or_anchor,0.504924,80,80,1.000000,,,,
demo_82,extra_masked,bad,0.074717,82,0,0.000000,-0.960855,-1.354920,-0.338761,-0.148413
demo_83,anchor,labeled_or_anchor,0.448628,109,109,1.000000,,,,
demo_84,extra_masked,bad,0.089536,83,0,0.000000,-0.705694,-1.592735,-0.140879,0.079925
demo_85,anchor,labeled_or_anchor,0.587516,123,123,1.000000,,,,
demo_86,extra_masked,bad,0.320050,73,0,0.000000,0.054841,-1.230536,0.958538,1.167598
demo_90,extra_masked,bad,0.192975,74,0,0.000000,-1.212613,-1.992248,-1.042755,-0.435258
demo_92,extra_masked,bad,0.223161,66,0,0.000000,-0.929684,-1.684794,-0.521487,-0.241435
demo_94,extra_masked,bad,0.472811,86,0,0.000000,-0.606073,-1.102909,-0.444989,0.205147
demo_96,extra_masked,bad,0.262505,82,0,0.000000,-0.859288,-1.484383,-0.168243,0.121535
demo_100,extra_masked,bad,0.401234,89,0,0.000000,-0.177824,-0.441173,0.102841,0.758377
demo_101,anchor,labeled_or_anchor,0.852372,98,98,1.000000,,,,
demo_102,extra_masked,bad,0.145030,94,0,0.000000,-0.489805,-0.661158,-0.151798,0.004234
demo_103,extra_masked,positive,0.535896,121,54,0.446281,2.287660,-0.005245,0.708292,4.577872
demo_106,anchor,labeled_or_anchor,0.459253,68,68,1.000000,,,,
demo_107,anchor,labeled_or_anchor,0.875400,86,86,1.000000,,,,
demo_108,extra_masked,bad,0.028320,94,0,0.000000,-1.328826,-2.012016,-0.642031,-0.468108
demo_109,anchor,labeled_or_anchor,0.395078,147,147,1.000000,,,,
demo_110,extra_masked,bad,0.126352,80,0,0.000000,-1.265710,-2.610036,-0.407785,-0.179002
demo_112,extra_masked,bad,0.080995,93,0,0.000000,-0.911254,-2.579491,-0.050401,0.347919
demo_116,extra_masked,bad,0.045632,103,0,0.000000,-1.942723,-3.363735,-0.858221,-0.732916
demo_118,extra_masked,bad,0.550023,80,1,0.012500,0.096835,-1.427670,0.830598,1.328232
demo_119,anchor,labeled_or_anchor,1.000000,91,91,1.000000,,,,
demo_120,extra_masked,bad,0.379135,100,0,0.000000,-0.273515,-0.612515,-0.168085,0.322879
demo_122,extra_masked,bad,0.107585,84,0,0.000000,-1.332489,-2.607152,-0.594687,-0.491835
demo_124,anchor,labeled_or_anchor,0.456581,75,75,1.000000,,,,
demo_125,anchor,labeled_or_anchor,1.000000,88,88,1.000000,,,,
demo_126,extra_masked,bad,0.494761,88,0,0.000000,-0.860989,-1.430512,-0.039693,0.314901
demo_127,anchor,labeled_or_anchor,1.000000,95,95,1.000000,,,,
demo_128,extra_masked,bad,0.460118,89,0,0.000000,-0.865163,-1.727214,0.096197,0.252394
demo_129,anchor,labeled_or_anchor,0.687879,104,104,1.000000,,,,
demo_130,extra_masked,bad,0.359263,85,0,0.000000,-0.049009,-0.541546,0.534995,0.895398
demo_132,extra_masked,bad,0.025898,60,0,0.000000,-1.113858,-1.500949,-0.929324,-0.651692
demo_133,anchor,labeled_or_anchor,0.611591,94,94,1.000000,,,,
demo_134,extra_masked,bad,0.211092,69,0,0.000000,-1.035396,-1.987198,-0.567942,-0.280443
demo_135,anchor,labeled_or_anchor,0.731240,95,95,1.000000,,,,
demo_136,extra_masked,bad,0.075447,61,0,0.000000,-1.206707,-1.924533,-1.067358,-0.174151
demo_137,anchor,labeled_or_anchor,0.703680,96,96,1.000000,,,,
demo_138,anchor,labeled_or_anchor,0.496578,55,55,1.000000,,,,
demo_139,anchor,labeled_or_anchor,1.000000,82,82,1.000000,,,,
